file,percent_ki67_alone,percent_gfap_alone,percent_both,nuclei_count,ki67,gfap,both,total_nuclei
O5_180627_7.tif,0.043209876543209874,0.37037037037037035,0.012345679012345678,162,7,60,2,162
O5_180627_8.tif,0.08843537414965986,0.24489795918367346,0.027210884353741496,147,13,36,4,147
O5_180627_9.tif,0.16049382716049382,0.20987654320987653,0.012345679012345678,81,13,17,1,81
O6_180627_10.tif,0.3448275862068966,0.1793103448275862,0.05517241379310345,145,50,26,8,145
O6_180627_4.tif,0.26851851851851855,0.1388888888888889,0.05555555555555555,108,29,15,6,108
O6_180627_5.tif,0.13636363636363635,0.26136363636363635,0.1590909090909091,88,12,23,14,88
O6_180627_6.tif,0.18666666666666668,0.18666666666666668,0.08,75,14,14,6,75
O6_180627_7.tif,0.29411764705882354,0.3235294117647059,0.08823529411764706,34,10,11,3,34
O6_180627_8.tif,0.22448979591836735,0.16326530612244897,0.04081632653061224,49,11,8,2,49
O6_180627_9.tif,0.16483516483516483,0.34065934065934067,0.01098901098901099,91,15,31,1,91
Y1_180420_1.tif,0.23783783783783785,0.1837837837837838,0.05405405405405406,185,44,34,10,185
Y1_180420_10.tif,0.12318840579710146,0.2971014492753623,0.028985507246376812,138,17,41,4,138
Y1_180420_2.tif,0.1559633027522936,0.1834862385321101,0.03669724770642202,109,17,20,4,109
Y1_180420_3.tif,0.11724137931034483,0.20689655172413793,0.020689655172413793,145,17,30,3,145
Y1_180420_4.tif,0.1348314606741573,0.16853932584269662,0.011235955056179775,89,12,15,1,89
Y1_180420_5.tif,0.15306122448979592,0.19387755102040816,0.08163265306122448,98,15,19,8,98
Y1_180420_6.tif,0.1,0.3,0.045454545454545456,110,11,33,5,110
Y1_180420_7.tif,0.24074074074074073,0.21296296296296297,0.046296296296296294,108,26,23,5,108
Y1_180420_8.tif,0.05555555555555555,0.2777777777777778,0.1111111111111111,108,6,30,12,108
Y1_180420_9.tif,0.06299212598425197,0.3858267716535433,0.0,127,8,49,0,127
Y1_180622_1.tif,0.1038961038961039,0.35064935064935066,0.09090909090909091,77,8,27,7,77
Y1_180622_10.tif,0.06918238993710692,0.3018867924528302,0.0440251572327044,159,11,48,7,159
Y1_180622_2.tif,0.09836065573770492,0.3114754098360656,0.03278688524590164,61,6,19,2,61
Y1_180622_3.tif,0.04395604395604396,0.16483516483516483,0.07692307692307693,91,4,15,7,91
Y1_180622_4.tif,0.22764227642276422,0.25203252032520324,0.12195121951219512,123,28,31,15,123
Y1_180622_5.tif,0.1414141414141414,0.29292929292929293,0.1111111111111111,99,14,29,11,99
Y1_180622_6.tif,0.13725490196078433,0.23529411764705882,0.09803921568627451,51,7,12,5,51
Y1_180622_7.tif,0.16161616161616163,0.23232323232323232,0.08080808080808081,99,16,23,8,99
Y1_180622_8.tif,0.16853932584269662,0.33707865168539325,0.10112359550561797,89,15,30,9,89
Y1_180622_9.tif,0.09917355371900827,0.24793388429752067,0.05785123966942149,121,12,30,7,121
Y2_180420_1.tif,0.09933774834437085,0.2052980132450331,0.09271523178807947,151,15,31,14,151
Y2_180420_3.tif,0.07207207207207207,0.25225225225225223,0.08108108108108109,111,8,28,9,111
Y2_180420_4.tif,0.049019607843137254,0.18627450980392157,0.0392156862745098,102,5,19,4,102
Y2_180420_5.tif,0.2,0.17647058823529413,0.10588235294117647,85,17,15,9,85
Y2_180420_6.tif,0.08823529411764706,0.20588235294117646,0.07058823529411765,170,15,35,12,170
Y2_180420_7.tif,0.06622516556291391,0.1390728476821192,0.026490066225165563,151,10,21,4,151
Y2_180420_8.tif,0.1118421052631579,0.35526315789473684,0.05263157894736842,152,17,54,8,152
Y2_180622_1.tif,0.08045977011494253,0.22988505747126436,0.022988505747126436,174,14,40,4,174
Y2_180622_2.tif,0.10650887573964497,0.2485207100591716,0.1242603550295858,169,18,42,21,169
Y2_180622_3.tif,0.0970873786407767,0.3106796116504854,0.06796116504854369,103,10,32,7,103
Y2_180622_4.tif,0.12359550561797752,0.19101123595505617,0.2696629213483146,89,11,17,24,89
Y2_180622_5.tif,0.12941176470588237,0.3764705882352941,0.07058823529411765,170,22,64,12,170
Y2_180622_6.tif,0.17424242424242425,0.1590909090909091,0.13636363636363635,132,23,21,18,132
Y2_180622_7.tif,0.2251655629139073,0.07947019867549669,0.09933774834437085,151,34,12,15,151
Y2_180622_8.tif,0.08396946564885496,0.1297709923664122,0.06870229007633588,131,11,17,9,131
Y4_180627_1.tif,0.23563218390804597,0.25287356321839083,0.12643678160919541,174,41,44,22,174
Y4_180627_10.tif,0.2737430167597765,0.19553072625698323,0.0893854748603352,179,49,35,16,179
Y4_180627_2.tif,0.36024844720496896,0.14285714285714285,0.055900621118012424,161,58,23,9,161
