"V1" "V2"
"122" 60.94105 118.834763
"123" 60.941139 136.131653
"124" 60.941229 138.002914
"125" 60.941319 124.297302
"126" 60.941409 97.586975
"127" 61.513887 77.748062
"128" 61.513978 115.599838
"129" 61.514069 132.870422
"130" 61.51416 119.688324
"131" 61.514252 78.632858
"132" 61.627852 83.617523
"133" 61.627943 131.444016
"134" 61.628035 144.693039
"135" 61.628126 123.498535
"136" 61.628217 82.000977
"137" 61.984923 67.987747
"138" 61.985015 125.643692
"139" 61.985107 149.003052
"140" 61.9852 121.344849
"141" 61.985292 90.229797
"142" 61.985845 111.208664
"143" 61.985937 173.460373
"144" 61.986029 195.01384
"145" 61.986121 146.791687
"146" 61.986213 85.595108
"147" 61.986306 76.262604
"148" 61.986398 146.273758
"149" 61.98649 207.875259
"150" 61.986582 194.114395
"151" 61.986674 119.043869
"152" 61.986766 6.298565
"153" 61.986951 96.391998
"154" 61.987043 251.770157
"155" 61.987135 312.831085
"156" 61.987227 280.39621
"157" 61.987319 287.089355
"158" 61.987412 239.690842
"159" 61.987504 129.881546
"160" 61.987596 158.771271
"161" 61.987688 85.688873
"162" 61.98778 365.817413
"163" 61.987873 361.037018
"164" 61.987965 2060.592041
"165" 61.988057 9176.602539
"166" 61.988149 21778.15625
"167" 61.988241 33471.253906
"168" 61.988333 35911.964844
"169" 61.988426 27042.251953
"170" 61.988518 13313.268555
"171" 61.98861 3121.278076
"172" 61.988702 533.435242
"173" 61.988794 436.905273
"174" 61.988886 55.153599
"175" 61.989163 31.667866
"176" 61.989255 129.969833
"177" 61.989347 326.429108
"178" 61.98944 321.909241
"179" 61.989532 184.646744
"180" 61.989624 77.845428
"181" 61.9899 94.768509
"182" 61.989993 141.628662
"183" 61.990085 171.573822
"184" 61.990177 147.870377
"185" 61.990269 99.41954
"186" 61.991744 46.412991
"187" 61.991836 120.973969
"188" 61.991928 156.763306
"189" 61.992021 137.196716
"190" 61.992113 110.255829
"191" 62.470901 97.078461
"192" 62.470994 112.493103
"193" 62.471087 122.689789
"194" 62.471181 129.423706
"195" 62.471274 123.152313
"196" 62.471367 95.722733
"197" 62.619063 60.063465
"198" 62.619157 114.229004
"199" 62.61925 143.590363
"200" 62.619344 140.906906
"201" 62.619437 111.992996
"202" 62.678251 72.107651
"203" 62.678344 114.061554
"204" 62.678438 141.639816
"205" 62.678532 154.498993
"206" 62.678625 155.977631
"207" 62.678719 141.852417
"208" 62.678813 107.222183
"209" 62.998959 59.45042
"210" 62.999054 112.8983
"211" 62.999148 140.563293
"212" 62.999243 136.716431
"213" 62.999337 109.958572
"214" 63.076754 111.316956
"215" 63.076848 131.637024
"216" 63.076943 137.899948
"217" 63.077037 127.198257
"218" 63.077132 95.855286
"219" 63.638696 83.164536
"220" 63.638792 132.751434
"221" 63.638888 161.950912
"222" 63.638983 143.561996
"223" 63.639079 76.519882
"224" 64.46812 95.758652
"225" 64.468217 117.526276
"226" 64.468315 133.453094
"227" 64.468413 130.364441
"228" 64.468511 100.684509
"229" 64.686188 70.934494
"230" 64.686287 128.559875
"231" 64.686385 152.123108
"232" 64.686483 125.300812
"233" 64.686581 52.111988
"234" 65.147799 85.570404
"235" 65.147898 113.292801
"236" 65.147997 129.955185
"237" 65.148097 125.299133
"238" 65.148196 98.308044
"239" 65.296024 94.529114
"240" 65.296124 115.083771
"241" 65.296223 125.521317
"242" 65.296323 126.145752
"243" 65.296422 113.535721
"244" 65.296522 86.019974
"245" 66.150444 38.103642
"246" 66.150546 215.883621
"247" 66.150647 384.204285
"248" 66.150749 424.518524
"249" 66.15085 315.243774
"250" 66.150952 143.147202
"251" 66.151054 9.828251
"252" 66.708343 47.558109
"253" 66.708446 113.396973
"254" 66.708549 158.204071
"255" 66.708652 151.036804
"256" 66.708755 91.145706
"257" 67.217612 107.336548
"258" 67.217716 212.781143
"259" 67.21782 276.944397
"260" 67.217924 248.971176
"261" 67.218029 144.381393
"262" 67.218133 36.063076
"263" 67.603112 103.813065
"264" 67.603217 118.708572
"265" 67.603322 124.197266
"266" 67.603427 121.723145
"267" 67.603532 117.930115
"268" 67.603637 107.246552
"269" 68.544291 61.063839
"270" 68.544399 144.826416
"271" 68.544506 193.967255
"272" 68.544613 175.136047
"273" 68.54472 103.303284
"274" 69.009004 219.050583
"275" 69.009112 566.248291
"276" 69.00922 843.868347
"277" 69.009329 857.920959
"278" 69.009437 605.615845
"279" 69.009545 286.338837
"280" 69.009653 90.941162
"281" 69.594103 68.591202
"282" 69.594213 129.845551
"283" 69.594322 153.5009
"284" 69.594432 129.675903
"285" 69.594542 83.153259
"286" 69.712785 31.702091
