"V1" "V2"
"155" 66.150647 357.220367
"156" 66.150749 375.694366
"157" 66.15085 260.802734
"158" 66.150952 98.965317
"159" 66.72759 84.360245
"160" 66.727693 131.724045
"161" 66.727796 144.499512
"162" 66.727899 124.181824
"163" 66.728001 92.874817
"164" 67.217612 42.936123
"165" 67.217716 151.414139
"166" 67.21782 218.717697
"167" 67.217924 190.969711
"168" 67.218029 84.986359
"169" 67.471349 80.605209
"170" 67.471453 123.142685
"171" 67.471558 138.258926
"172" 67.471663 128.138489
"173" 67.471767 106.688232
"174" 68.367684 80.387985
"175" 68.36779 119.87616
"176" 68.367897 143.014618
"177" 68.368004 135.115845
"178" 68.368111 87.809311
"179" 68.544184 47.152599
"180" 68.544291 116.098221
"181" 68.544399 178.632187
"182" 68.544506 189.508148
"183" 68.544613 132.289459
"184" 68.54472 47.227962
"185" 68.559942 68.691818
"186" 68.560049 135.02034
"187" 68.560156 154.836655
"188" 68.560264 122.292099
"189" 68.560371 59.312519
"190" 68.640531 53.706097
"191" 68.640638 143.516968
"192" 68.640745 190.845398
"193" 68.640853 167.326401
"194" 68.64096 101.09993
"195" 69.08659 72.443939
"196" 69.086698 124.479828
"197" 69.086807 151.245819
"198" 69.086915 141.845673
"199" 69.087024 105.171829
"200" 69.712895 51.795971
"201" 69.713005 179.998962
"202" 69.713115 277.460266
"203" 69.713225 268.481506
"204" 69.713335 162.299057
"205" 69.713445 42.554295
"206" 72.364744 52.504566
"207" 72.36486 118.25296
"208" 72.364976 143.110794
"209" 72.365093 116.6026
"210" 72.365209 57.975346
"211" 74.024251 129.670242
"212" 74.024371 578.335632
"213" 74.024492 1147.08252
"214" 74.024612 1483.009033
"215" 74.024732 1330.172485
"216" 74.024852 801.39386
"217" 74.024973 268.769318
"218" 74.025093 2.024536
"219" 74.033634 76.959778
"220" 74.033754 149.217331
"221" 74.033875 175.241058
"222" 74.033995 124.904968
"223" 74.034115 33.96294
"224" 74.752974 72.678299
"225" 74.753096 137.302109
"226" 74.753218 169.599884
"227" 74.75334 149.595566
"228" 74.753462 89.332748
"229" 75.008252 70.629837
"230" 75.008375 281.608215
"231" 75.008497 542.927673
