1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,QC_1-00005,QC_2-00003,QC_3-00004,B_1,B_2,B_3,features
0.069,0.0676,NA,NA,0.0694,0.0763,0.1075,0.079,0.0928,0.1011,0.0422,0.0615,0.0861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DAG.14.0.18.2.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0394,NA,0.0342,0.0284,NA,0.037,0.0304,NA,NA,NA,NA,NA,NA,NA,DAG.14.0.22.6.
0.0505,0.0691,0.0494,0.037,0.0516,0.0432,0.0765,0.0396,0.0607,0.0539,0.0413,0.0369,0.0499,0.0287,NA,NA,NA,0.0235,0.0196,NA,0.0243,NA,NA,NA,0.0341,0.0234,0.028,DAG.14.1.16.0.
NA,NA,NA,0.0183,NA,NA,NA,NA,NA,0.0239,0.0192,0.0235,NA,NA,NA,NA,NA,0.0184,NA,NA,NA,NA,NA,NA,0.0297,0.0372,0.0197,DAG.14.1.18.1.
0.113,0.114,0.0791,0.0569,0.0893,0.0942,0.1362,0.0828,0.1687,0.1014,0.0802,0.083,0.1682,0.3488,0.2227,0.2656,0.2546,0.2862,0.2403,0.2132,0.247,NA,NA,NA,NA,NA,NA,DAG.15.0.18.1.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0652,NA,NA,NA,0.0671,0.0587,NA,NA,NA,NA,NA,NA,NA,NA,DAG.15.0.18.2.
1.8127,1.8854,2.1106,1.5569,2.569,1.9556,3.0114,1.8475,1.9927,2.6166,1.7099,1.93,1.9719,1.3003,1.3609,1.267,1.385,1.4184,1.609,1.247,1.8636,NA,NA,NA,0.0157,0.0194,0.019,DAG.16.0.16.0.
1.2281,1.3526,1.1165,0.7172,1.5253,1.0883,1.7883,0.9305,1.5411,1.1362,1.0477,1.0093,1.5854,0.5018,0.3458,0.4439,0.4732,0.435,0.4112,0.3613,0.4158,NA,NA,NA,NA,NA,NA,DAG.16.0.16.1.
0.6641,0.7729,0.6262,0.6508,0.6533,0.5802,0.7963,0.8168,0.8697,0.9627,0.467,0.702,0.8393,0.4425,0.3791,0.3654,0.3785,0.3515,0.359,0.3495,0.4054,NA,NA,NA,0.0454,0.0319,0.0332,DAG.16.0.18.0.
3.3092,3.3397,2.9246,2.06,3.1988,2.3424,3.8524,2.5233,3.629,3.0819,2.1202,2.2135,4.1986,2.624,1.7916,2.0573,2.2257,1.6732,1.4844,1.4651,1.5993,NA,NA,NA,0.0238,0.0241,NA,DAG.16.0.18.1.
0.5019,0.4659,0.484,0.5189,0.6411,0.4949,0.5765,0.5136,0.6731,0.7648,0.3295,0.4368,0.4935,0.2944,0.2433,0.2919,0.2717,0.2434,0.3217,0.2274,0.3254,NA,NA,NA,NA,NA,0.0112,DAG.16.0.18.2.
0.1634,0.1772,0.1609,0.116,0.1329,0.092,0.1763,0.1972,0.1816,0.2099,0.1476,0.1241,0.1617,0.4802,0.2333,0.2839,0.3627,0.2637,0.355,0.228,0.3535,NA,NA,NA,0.0574,0.0551,0.0817,DAG.16.0.18.3.
0.7051,0.6168,0.6732,0.5871,0.7253,0.4419,0.804,0.712,0.7184,0.7521,0.3882,0.5673,0.6462,1.9406,1.0559,1.142,1.5784,0.8925,1.2199,0.8373,1.4594,NA,NA,NA,NA,NA,NA,DAG.16.0.20.3.
0.2241,0.2416,0.2893,0.2796,0.232,0.1353,0.1966,0.2607,0.1987,0.229,0.1455,0.1663,0.1775,2.9504,2.8795,2.498,2.328,1.5987,2.1939,1.8228,2.1957,NA,NA,NA,NA,NA,NA,DAG.16.0.20.4.
0.0499,0.0679,0.0729,0.07,0.0317,NA,NA,0.0598,0.0619,0.0936,0.0327,0.0347,0.0637,0.0893,0.0907,0.0564,0.0669,NA,NA,0.0647,0.0679,NA,NA,NA,0.0307,0.0285,0.0315,DAG.16.0.20.5.
0.0989,0.0998,0.0997,0.1115,0.0755,0.0782,0.1026,0.1007,0.0831,0.1238,0.0788,0.1044,0.0811,0.267,0.1917,0.1841,0.1634,0.1817,0.2183,0.2252,0.1993,NA,NA,NA,NA,NA,NA,DAG.16.0.22.5.
0.0355,0.0304,0.0401,0.0344,0.0334,NA,0.0315,0.0284,0.0404,0.0402,0.0319,0.0323,0.0258,0.4803,0.4612,0.4309,0.367,0.3412,0.284,0.2968,0.344,NA,NA,NA,NA,NA,NA,DAG.16.0.22.6.
0.2172,0.2182,0.1753,0.1008,0.2799,0.1745,0.3297,0.1394,0.2209,0.1794,0.1701,0.1857,0.2344,0.0651,0.0439,0.0477,0.0616,0.0582,0.0635,0.0408,0.0585,NA,NA,NA,NA,NA,NA,DAG.16.1.16.1.
0.217,0.1969,0.1207,0.0946,0.1074,0.13,0.2196,0.1177,0.1761,0.1632,0.1086,0.1253,0.2023,0.0374,0.0334,0.0354,0.0364,0.0384,0.031,0.0246,0.0328,NA,NA,NA,NA,NA,NA,DAG.16.1.18.0.
0.8033,0.7811,0.6746,0.4505,0.7485,0.6419,0.9956,0.53,0.8777,0.7156,0.5662,0.6077,0.9643,0.3361,0.2514,0.3113,0.3128,0.2958,0.2538,0.2214,0.2743,NA,NA,NA,NA,NA,NA,DAG.16.1.18.1.
0.1769,0.1339,0.1463,0.1297,0.1598,0.1792,0.2353,0.1696,0.2031,0.2062,0.1156,0.166,0.1472,NA,NA,NA,NA,0.0564,0.0864,0.0573,0.0806,NA,NA,NA,NA,NA,NA,DAG.16.1.18.2.
NA,NA,NA,0.0286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DAG.16.1.18.3.
NA,NA,NA,NA,NA,NA,NA,0.1443,NA,0.0964,NA,0.0842,NA,NA,NA,NA,NA,0.1833,NA,NA,NA,NA,NA,NA,NA,NA,NA,DAG.16.1.20.0.
0.0871,0.087,0.0584,NA,0.0971,0.0867,0.1075,0.0667,0.1015,0.1322,0.0589,0.0617,0.0875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DAG.16.1.20.2.
0.0452,0.0463,0.0433,0.0416,0.0449,0.0276,0.0487,0.0512,0.0466,0.0538,0.0305,0.04,0.0286,0.1853,0.1822,0.1374,0.1159,0.1344,0.1413,0.1164,0.1594,NA,NA,NA,NA,NA,NA,DAG.16.1.20.4.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1002,0.1127,0.0956,0.094,0.0863,0.0758,0.0774,0.099,NA,NA,NA,NA,NA,NA,DAG.16.1.22.6.
0.5645,0.5948,0.4634,0.3754,0.4136,0.3781,0.6663,0.4313,0.6023,0.6405,0.3823,0.4452,0.6358,0.3164,0.2527,0.2997,0.3099,0.2933,0.2594,0.2504,0.2852,NA,NA,NA,NA,NA,NA,DAG.18.0.18.1.
0.3333,0.2947,0.2634,0.2178,0.3233,0.3256,0.4094,0.2982,0.4193,0.4132,0.2329,0.3027,0.3442,0.1557,0.1401,0.1514,0.1358,0.1054,0.1767,0.1276,0.1855,NA,NA,NA,NA,NA,NA,DAG.18.0.18.2.
0.3471,0.3311,0.2964,0.2006,0.3986,0.2446,0.5209,0.3197,0.4029,0.4992,0.2429,0.3475,0.3459,1.095,0.55,0.6464,0.7431,0.5721,0.8918,0.5287,0.9099,NA,NA,NA,NA,NA,NA,DAG.18.0.18.3.
0.0444,0.0414,NA,NA,0.0264,0.0228,0.0327,0.0342,0.0412,0.0438,0.0267,0.0305,0.0236,0.1232,0.1407,0.1119,0.1209,0.1236,0.1105,0.0975,0.1301,NA,NA,NA,NA,NA,NA,DAG.18.0.22.6.
1.1892,1.1461,1.0327,0.7767,1.0566,0.8759,1.3206,0.9275,1.3087,1.2265,0.7388,0.8479,1.464,0.8057,0.5955,0.6789,0.7318,0.6069,0.5713,0.5609,0.6039,NA,NA,NA,0.0199,0.0214,0.0178,DAG.18.1.18.1.
0.6133,0.4977,0.678,0.7668,0.579,0.6284,0.6416,0.7882,0.7711,1.0344,0.4298,0.6964,0.566,0.8533,0.8073,0.8649,0.8191,0.7483,1.0526,0.8319,1.0093,NA,NA,NA,0.0212,0.0134,NA,DAG.18.1.18.2.
0.1018,0.0797,0.0818,0.0579,0.0952,0.0738,0.1145,0.0657,0.1021,0.0789,0.0533,0.0561,0.0983,0.0234,0.0295,0.0308,NA,0.0388,NA,NA,0.0189,NA,NA,NA,NA,NA,NA,DAG.18.1.20.1.
0.2407,0.1967,0.1729,0.1992,0.263,0.2112,0.2871,0.2016,0.2783,0.3445,0.1494,0.1859,0.2581,0.1429,NA,0.099,0.0911,0.0706,0.097,0.0769,0.1036,NA,NA,NA,NA,NA,NA,DAG.18.1.20.2.
0.9712,0.9263,1.1196,1.0092,1.2325,0.7813,1.5383,1.2451,1.2213,1.5711,0.741,1.1006,1.1743,1.3752,0.9686,0.9714,1.1196,0.8567,1.1636,0.7753,1.3446,NA,NA,NA,NA,NA,NA,DAG.18.1.20.3.
0.4386,0.4409,0.586,0.6133,0.5409,0.3052,0.438,0.5388,0.409,0.5188,0.3478,0.3687,0.3855,2.0856,2.2219,1.8966,1.7467,1.3232,1.7709,1.4723,1.7995,NA,NA,NA,NA,NA,NA,DAG.18.1.20.4.
0.0577,0.0433,0.079,0.0738,NA,NA,0.0387,0.0482,0.0492,0.0743,NA,0.032,0.0605,NA,NA,0.0548,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DAG.18.1.20.5.
0.0737,0.0569,0.0608,0.0459,0.0564,0.0527,0.0665,0.07,0.0697,0.0849,0.0432,0.0501,0.0605,1.1711,0.8966,0.6897,0.7136,0.2732,0.5097,0.323,0.348,NA,NA,NA,NA,NA,NA,DAG.18.1.22.4.
