Compound,m.z,Retention.time..min.,Intensity,Mode,Y1-act-11,Y1-qui-try-11,Y1-qui-scr-11,Y2-act-11,Y2-qui-try-11,Y2-qui-scr-11,Y3-act-11,Y3-qui-try-11,Y3-qui-scr-11,O1-act-11,O1-qui-try-11,O1-qui-scr-11,O2-act-11,O2-qui-try-11,O2-qui-scr-11,O3-act-11,O3-qui-try-11,O3-qui-scr-11,Y1-act-8,Y1-qui-8,Y2-act-8,Y2-qui-8,Y3-act-8,Y3-qui-8,O1-act-8,O1-qui-8,O2-act-8,O2-qui-8,O3-act-8,O3-qui-8,Act-Adherent-1,Act-Adherent-2,Act-suspension-1,Act-suspension-2,QC1,QC2,QC3,LipidIon,FattyAcid,Class,IonFormula,RT_LS,mz_LS,mscore,tscore
21.78_808.7370m/z,808.7370,21.78,2064865.161,Accucore_C18_pos,1.5E+06,5.8E+06,5.9E+06,1.3E+06,3.9E+06,7.2E+06,1.2E+06,6.3E+06,5.0E+06,1.1E+06,1.7E+06,2.9E+06,1.3E+06,2.5E+06,2.4E+06,1.1E+06,2.8E+06,2.6E+06,1.2E+06,5.0E+06,1.1E+06,4.0E+06,1.0E+06,5.6E+06,1.1E+06,2.4E+06,1.6E+06,3.8E+06,1.8E+06,3.0E+06,1.1E+06,1.2E+06,1.2E+06,1.3E+06,2.1E+06,2.1E+06,2.0E+06,TG(15:0/16:0/16:1)+NH4,(15:0/16:0/16:1),TG,C50 H98 O6 N1,21.77010199,808.7388655,58.74822742,0.080330655
22.40_836.7682m/z,836.7682,22.40,4704676.09,Accucore_C18_pos,3.4E+06,1.6E+07,1.4E+07,2.5E+06,9.1E+06,1.7E+07,2.3E+06,1.7E+07,1.2E+07,1.6E+06,3.7E+06,7.8E+06,2.2E+06,6.5E+06,5.2E+06,2.0E+06,6.6E+06,6.0E+06,2.0E+06,9.7E+06,1.6E+06,8.3E+06,1.5E+06,1.3E+07,1.8E+06,6.4E+06,3.5E+06,8.2E+06,4.3E+06,6.9E+06,1.6E+06,1.8E+06,2.2E+06,2.4E+06,3.9E+06,4.2E+06,4.1E+06,TG(15:0/16:0/18:1)+NH4| TG(15:0/16:0/18:1)+NH4,(15:0/16:0/18:1)| (15:0/16:0/18:1),TG| TG,C52 H102 O6 N1| C52 H102 O6 N1,22.4006496568894| 22.774,836.77016547| 836.77016547,54.3128845903256| 5.3818700378352,0.227329777795963| 0.493036386816747
22.08_886.7835m/z,886.7835,22.08,184943.6712,Accucore_C18_pos,1.4E+05,1.2E+06,1.1E+06,1.0E+05,7.2E+05,1.4E+06,9.7E+04,1.3E+06,8.9E+05,9.7E+03,5.1E+04,2.4E+05,8.7E+04,3.3E+05,1.7E+05,5.5E+04,2.1E+05,1.7E+05,5.9E+04,7.1E+05,2.0E+04,6.3E+05,1.6E+04,9.1E+05,2.0E+04,2.0E+05,2.9E+05,6.2E+05,2.4E+05,4.6E+05,2.0E+04,2.7E+04,4.9E+04,7.0E+04,2.0E+05,2.1E+05,2.2E+05,TG(15:0/16:0/22:4)+NH4,(15:0/16:0/22:4),TG,C56 H104 O6 N1,21.9179508,886.7858155,25.31870428,0.167221294
21.93_886.7833m/z,886.7833,21.93,121555.744,Accucore_C18_pos,1.2E+05,6.6E+05,8.2E+05,8.1E+04,3.9E+05,1.0E+06,5.9E+04,6.5E+05,5.1E+05,5.0E+03,1.4E+04,1.5E+05,5.9E+04,1.2E+05,7.3E+04,3.0E+04,1.3E+05,8.4E+04,4.5E+04,5.1E+05,6.3E+03,3.5E+05,4.0E+03,6.2E+05,1.7E+04,1.3E+05,2.6E+05,7.1E+05,1.5E+05,4.8E+05,5.3E+03,1.4E+04,2.7E+04,4.4E+04,1.0E+05,1.3E+05,1.3E+05,TG(15:0/16:0/22:4)+NH4,(15:0/16:0/22:4),TG,C56 H104 O6 N1,21.9179508,886.7858155,25.31870428,0.167221294
21.10_806.7208m/z,806.7208,21.10,328924.8248,Accucore_C18_pos,2.6E+05,8.8E+05,1.1E+06,1.8E+05,6.0E+05,1.2E+06,1.9E+05,9.2E+05,7.9E+05,1.4E+05,2.5E+05,4.9E+05,1.9E+05,3.5E+05,4.1E+05,1.7E+05,4.3E+05,4.0E+05,1.8E+05,1.2E+06,1.5E+05,8.3E+05,1.6E+05,1.2E+06,1.6E+05,3.6E+05,2.8E+05,9.6E+05,3.1E+05,7.0E+05,1.6E+05,2.0E+05,2.0E+05,1.9E+05,3.6E+05,3.9E+05,3.5E+05,TG(15:0/16:1/16:1)+NH4,(15:0/16:1/16:1),TG,C50 H96 O6 N1,21.13551516,806.7232155,47.90377818,0.384099786
21.52_806.7210m/z,806.7210,21.52,9425.304032,Accucore_C18_pos,1.9E+03,1.9E+05,2.2E+05,1.1E+03,1.1E+05,2.9E+05,2.9E+03,1.9E+05,1.9E+05,0.0E+00,4.5E+03,2.3E+04,2.3E+03,2.6E+04,2.8E+04,1.8E+03,2.3E+04,2.5E+04,3.0E+03,2.7E+05,9.5E+02,1.9E+05,3.8E+03,2.9E+05,2.7E+03,1.1E+04,7.9E+03,1.2E+05,3.7E+03,8.3E+04,9.1E+02,3.9E+03,9.3E+02,2.2E+03,3.4E+04,3.9E+04,3.9E+04,TG(15:0/16:1/16:1)+NH4,(15:0/16:1/16:1),TG,C50 H96 O6 N1,21.13551516,806.7232155,47.90377818,0.384099786
21.71_834.7524m/z,834.7524,21.71,2021138.912,Accucore_C18_pos,1.5E+06,5.5E+06,6.1E+06,1.2E+06,3.7E+06,7.2E+06,1.2E+06,6.0E+06,4.7E+06,7.2E+05,1.4E+06,3.1E+06,1.1E+06,2.4E+06,2.2E+06,9.3E+05,2.7E+06,2.5E+06,9.0E+05,4.8E+06,7.6E+05,3.9E+06,6.6E+05,5.8E+06,8.4E+05,2.8E+06,1.8E+06,5.2E+06,1.8E+06,4.3E+06,8.1E+05,8.8E+05,1.1E+06,1.1E+06,1.9E+06,2.0E+06,1.9E+06,TG(15:0/16:1/18:1)+NH4| TG(15:0/16:0/18:2)+NH4,(15:0/16:1/18:1)| (15:0/16:0/18:2),TG| TG,C52 H100 O6 N1| C52 H100 O6 N1,21.6965482575411| 22.2248885839901,834.75451547| 834.75451547,46.9984599398103| 6.96919766137708,0.176678160069763| 0.208676288329833
22.50_914.8147m/z,914.8147,22.50,363278.9234,Accucore_C18_pos,5.5E+05,1.6E+06,1.6E+06,3.7E+05,9.1E+05,2.0E+06,3.3E+05,1.6E+06,1.2E+06,9.9E+04,1.2E+05,4.3E+05,3.0E+05,3.6E+05,2.3E+05,2.3E+05,3.2E+05,3.0E+05,1.8E+05,1.0E+06,8.3E+04,8.4E+05,9.1E+04,1.3E+06,1.1E+05,4.0E+05,8.0E+05,1.0E+06,7.1E+05,8.4E+05,8.8E+04,1.4E+05,1.9E+05,2.2E+05,2.9E+05,3.5E+05,3.1E+05,TG(15:0/18:1/22:3)+NH4,(15:0/18:1/22:3),TG,C58 H108 O6 N1,22.51876213,914.8171155,29.12919576,0.205011488
22.68_914.8146m/z,914.8146,22.68,205771.6265,Accucore_C18_pos,1.9E+05,1.0E+06,7.6E+05,1.2E+05,5.8E+05,8.9E+05,1.0E+05,9.8E+05,4.8E+05,6.4E+03,9.3E+04,3.1E+05,6.1E+04,3.6E+05,1.5E+05,7.8E+04,2.4E+05,1.9E+05,1.8E+04,4.9E+05,1.0E+04,5.1E+05,3.3E+03,7.3E+05,2.3E+04,3.3E+05,2.2E+05,4.4E+05,2.9E+05,5.0E+05,1.2E+04,2.3E+04,4.0E+04,6.8E+04,1.0E+05,1.4E+05,1.3E+05,TG(15:0/18:1/22:3)+NH4,(15:0/18:1/22:3),TG,C58 H108 O6 N1,22.51876213,914.8171155,29.12919576,0.205011488
21.00_740.6737m/z,740.6737,21.00,4722.239055,Accucore_C18_pos,8.5E+03,2.7E+03,5.7E+03,5.0E+03,4.7E+03,3.4E+03,4.6E+03,2.0E+03,4.8E+03,5.0E+03,7.4E+03,4.7E+03,3.3E+03,4.1E+03,3.1E+03,6.9E+03,9.1E+03,7.5E+03,5.0E+03,2.3E+03,3.9E+03,5.4E+03,3.9E+03,1.7E+03,4.4E+03,5.3E+03,4.9E+03,3.2E+03,1.0E+04,3.4E+03,3.0E+03,7.4E+03,5.3E+03,5.1E+03,4.5E+03,6.3E+03,5.3E+03,TG(16:0/12:0/14:0)+NH4,(16:0/12:0/14:0),TG,C45 H90 O6 N1,20.66728713,740.6762655,45.61268721,3.155365094
