Compound,m.z,Retention.time..min.,Intensity,Mode,Y1-act-11,Y1-qui-try-11,Y1-qui-scr-11,Y2-act-11,Y2-qui-try-11,Y2-qui-scr-11,Y3-act-11,Y3-qui-try-11,Y3-qui-scr-11,O1-act-11,O1-qui-try-11,O1-qui-scr-11,O2-act-11,O2-qui-try-11,O2-qui-scr-11,O3-act-11,O3-qui-try-11,O3-qui-scr-11,Y1-act-8,Y1-qui-8,Y2-act-8,Y2-qui-8,Y3-act-8,Y3-qui-8,O1-act-8,O1-qui-8,O2-act-8,O2-qui-8,O3-act-8,O3-qui-8,Act-Adherent-1,Act-Adherent-2,Act-suspension-1,Act-suspension-2,QC1,QC2,QC3,LipidIon,FattyAcid,Class,IonFormula,RT_LS,mz_LS,mscore,tscore
21.54_799.6762m/z,799.6762,21.54,39226.0838,Accucore_C18_pos,3.8E+04,9.5E+04,1.0E+05,2.7E+04,4.8E+04,1.4E+05,2.5E+04,1.1E+05,1.1E+05,1.6E+04,3.5E+04,6.2E+04,2.8E+04,2.7E+04,3.3E+04,1.9E+04,4.0E+04,4.2E+04,3.7E+04,1.6E+05,2.4E+04,1.0E+05,3.9E+04,1.8E+05,2.1E+04,3.6E+04,3.9E+04,5.2E+04,7.6E+04,4.5E+04,2.8E+04,3.1E+04,3.1E+04,4.9E+04,3.7E+04,3.7E+04,2.9E+04,Hex1Cer(d24:2/16:0)+NH4,(d24:2/16:0),Hex1Cer,C46 H91 O8 N2,21.42,799.6769945,3.607916329,8.162428929
12.41_728.6015m/z,728.6015,12.41,122465.1841,Accucore_C18_pos,8.6E+04,2.1E+05,3.0E+05,9.3E+04,1.3E+05,4.4E+05,6.8E+04,1.1E+05,2.0E+05,1.1E+05,2.6E+04,2.2E+05,2.0E+05,8.4E+04,1.2E+05,9.1E+04,3.0E+04,4.7E+04,1.7E+05,2.9E+05,1.1E+05,2.3E+05,1.7E+05,2.8E+05,1.0E+05,9.0E+04,2.2E+05,8.7E+04,3.2E+05,6.3E+04,9.2E+04,1.3E+05,1.7E+05,2.2E+05,1.0E+05,9.5E+04,1.1E+05,Hex1Cer(t18:0/18:0)+H-H2O,(t18:0/18:0),Hex1Cer,C42 H82 O8 N1,12.41236953,728.6034955,34.69537488,0.095091484
16.27_810.6798m/z,810.6798,16.27,200267.5644,Accucore_C18_pos,1.8E+05,2.7E+05,3.8E+05,1.7E+05,1.8E+05,5.4E+05,1.5E+05,2.6E+05,3.6E+05,1.1E+05,1.2E+05,4.9E+05,2.2E+05,1.2E+05,1.5E+05,1.3E+05,8.9E+04,1.2E+05,2.2E+05,3.7E+05,1.6E+05,2.5E+05,2.9E+05,4.2E+05,1.4E+05,2.3E+05,1.7E+05,9.3E+04,3.6E+05,1.5E+05,1.6E+05,2.2E+05,2.6E+05,3.0E+05,1.5E+05,1.5E+05,1.5E+05,Hex1Cer(t18:0/24:1)+H-H2O,(t18:0/24:1),Hex1Cer,C48 H92 O8 N1,16.26600707,810.6817455,23.33333333,0.34096765
2.47_496.3390m/z,496.3390,2.47,1174474.058,Accucore_C18_pos,2.6E+05,2.1E+06,3.5E+06,2.3E+05,1.7E+06,4.5E+06,2.4E+05,1.6E+06,2.8E+06,4.3E+05,1.1E+06,4.7E+06,6.5E+05,1.3E+06,2.4E+06,2.6E+05,8.8E+05,1.4E+06,4.8E+05,1.1E+07,4.8E+05,9.8E+06,9.3E+05,1.1E+07,5.3E+05,3.1E+06,8.6E+05,1.5E+06,1.9E+06,1.6E+06,2.7E+05,3.0E+05,4.6E+05,5.4E+05,1.7E+06,1.9E+06,2.1E+06,LPC(16:0)+H,(16:0),LPC,C24 H51 O7 N1 P1,2.439847619,496.3397685,25.00065222,0.862217172
2.46_540.3311m/z,540.3311,2.46,271647.8478,Accucore_C18_neg,5.6E+04,4.1E+05,9.8E+05,5.4E+04,5.5E+05,1.0E+06,4.1E+04,3.1E+05,7.3E+05,8.2E+04,2.6E+05,9.9E+05,1.6E+05,2.9E+05,7.4E+05,4.4E+04,2.3E+05,3.4E+05,1.1E+05,3.1E+06,1.3E+05,2.5E+06,2.1E+05,2.8E+06,1.0E+05,6.6E+05,1.9E+05,4.9E+05,4.5E+05,4.2E+05,6.1E+04,5.5E+04,1.3E+05,1.2E+05,4.0E+05,3.2E+05,3.4E+05,LPC(16:0)+HCOO,(16:0),LPC,C25 H51 O9 N1 P1,2.439847619,540.3306955,29.20251505,1.272835683
2.47_518.3209m/z,518.3209,2.47,28915.79053,Accucore_C18_pos,6.0E+02,6.9E+04,1.3E+05,9.0E+02,4.6E+04,1.9E+05,1.0E+03,4.1E+04,8.2E+04,5.6E+03,1.2E+04,1.2E+05,9.9E+03,3.3E+04,7.2E+04,1.2E+03,1.6E+04,3.7E+04,4.3E+03,6.7E+05,4.9E+03,6.6E+05,2.5E+04,7.7E+05,6.8E+03,1.1E+05,1.8E+04,4.1E+04,5.8E+04,3.9E+04,1.9E+03,2.5E+03,5.9E+03,7.6E+03,4.0E+04,5.4E+04,6.8E+04,LPC(16:0)+Na,(16:0),LPC,C24 H50 O7 N1 P1 Na1,2.439847619,518.3217135,8.098405717,0.853706839
1.69_494.3233m/z,494.3233,1.69,84661.19435,Accucore_C18_pos,1.4E+04,1.9E+05,2.9E+05,1.2E+04,1.9E+05,4.3E+05,1.1E+04,1.4E+05,2.9E+05,2.7E+04,4.4E+04,3.1E+05,6.4E+04,8.9E+04,2.1E+05,1.6E+04,5.5E+04,1.5E+05,3.2E+04,5.0E+05,3.3E+04,6.2E+05,7.7E+04,6.2E+05,3.1E+04,2.4E+05,8.0E+04,2.0E+05,1.4E+05,1.7E+05,1.7E+04,2.0E+04,4.1E+04,4.6E+04,1.2E+05,1.3E+05,1.3E+05,LPC(16:1)+H,(16:1),LPC,C24 H49 O7 N1 P1,1.655,494.3241185,20.9520138,0.635241153
3.20_510.3547m/z,510.3547,3.20,55620.67794,Accucore_C18_pos,1.0E+03,2.7E+05,4.8E+05,1.6E+02,2.3E+05,6.3E+05,1.5E+02,1.9E+05,3.6E+05,6.0E+02,4.7E+04,2.7E+05,2.1E+03,1.2E+05,2.1E+05,3.9E+02,6.4E+04,1.0E+05,6.7E+02,3.1E+05,0.0E+00,3.7E+05,8.4E+02,3.7E+05,7.9E+02,1.7E+05,4.2E+03,1.6E+05,2.5E+04,1.4E+05,0.0E+00,0.0E+00,5.4E+02,3.2E+02,1.0E+05,1.1E+05,1.1E+05,LPC(17:0)+H,(17:0),LPC,C25 H53 O7 N1 P1,3.190642673,510.3554185,19.73677937,0.747013036
2.35_522.3547m/z,522.3547,2.35,429950.1365,Accucore_C18_pos,3.4E+04,1.1E+06,1.2E+06,2.9E+04,9.5E+05,1.9E+06,2.3E+04,7.6E+05,1.7E+06,4.0E+04,3.3E+05,3.3E+06,8.7E+04,5.4E+05,1.2E+06,2.4E+04,3.2E+05,8.1E+05,7.6E+04,1.8E+06,7.4E+04,1.9E+06,1.5E+05,2.1E+06,1.0E+05,1.2E+06,2.9E+05,9.7E+05,5.3E+05,9.1E+05,2.3E+04,3.0E+04,3.8E+04,3.7E+04,5.2E+05,5.3E+05,5.5E+05,LPC(18:1)+H,(18:1),LPC,C26 H53 O7 N1 P1,2.354621339,522.3554185,19.55604828,0.882030978
2.35_566.3466m/z,566.3466,2.35,108272.039,Accucore_C18_neg,5.4E+03,2.2E+05,3.4E+05,4.5E+03,3.1E+05,4.4E+05,2.7E+03,1.5E+05,4.6E+05,3.5E+03,7.8E+04,6.6E+05,1.8E+04,1.3E+05,4.0E+05,8.7E+02,9.1E+04,1.9E+05,1.3E+04,5.4E+05,2.1E+04,5.3E+05,3.3E+04,5.2E+05,1.0E+04,2.6E+05,6.4E+04,3.3E+05,1.3E+05,2.7E+05,3.1E+03,2.9E+03,7.3E+03,5.4E+03,1.4E+05,1.0E+05,1.1E+05,LPC(18:1)+HCOO| MLCL(14:2/18:1/18:1)-2H,(18:1)| (14:2/18:1/18:1),LPC| MLCL,C27 H53 O9 N1 P1| C59 H106 O16 P2,2.35462133901731| 2.37758260352575,566.346345529999| 566.348356529999,20.7693913234984| 18.0300394683112,1.52738316951514| 17.0130904444377
13.38_768.5857m/z,768.5857,13.38,502286.6298,Accucore_C18_pos,3.4E+05,1.7E+06,2.3E+06,2.4E+05,1.1E+06,3.5E+06,2.4E+05,1.0E+06,1.9E+06,1.0E+05,2.5E+05,2.0E+06,5.0E+05,5.1E+05,7.7E+05,1.9E+05,3.2E+05,4.7E+05,3.2E+05,1.8E+06,2.3E+05,1.1E+06,5.2E+05,1.7E+06,3.0E+05,9.3E+05,4.7E+05,5.8E+05,1.5E+06,7.2E+05,1.6E+05,2.6E+05,2.9E+05,3.6E+05,4.5E+05,4.7E+05,4.6E+05,LPC(34:1)+Na| LPC(34:1)+Na| PC(18:1e/16:0)+Na,(34:1)| (34:1)| (18:1e/16:0),LPC| LPC| PC,C42 H84 O7 N1 P1 Na1| C42 H84 O7 N1 P1 Na1| C42 H84 O7 N1 P1 Na1,13.3555823415934| 13.4240366901929| 13.4160631720777,768.58776347| 768.58776347| 768.58776347,20.2820629401393| 20.9961043195525| 12.7379799256163,0.843734854675264| 1.22258806311513| 0.727081772016132
2.54_452.2785m/z,452.2785,2.54,18444.62887,Accucore_C18_neg,6.9E+02,2.2E+04,8.1E+04,1.2E+03,2.6E+04,7.6E+04,8.0E+01,1.7E+04,5.8E+04,6.0E+02,5.8E+02,4.1E+04,2.0E+03,9.9E+03,3.6E+04,1.5E+02,6.1E+03,2.0E+04,7.0E+03,7.4E+04,8.8E+03,6.9E+04,2.2E+04,6.1E+04,2.2E+04,2.4E+04,1.3E+04,2.5E+04,2.5E+04,2.0E+04,1.4E+03,1.8E+03,2.7E+03,2.5E+03,1.8E+04,1.5E+04,1.9E+04,LPE(16:0)-H,(16:0),LPE,C21 H43 O7 N1 P1,2.552533063,452.2782655,20,1.264252652
4.34_482.3234m/z,482.3234,4.34,28488.04173,Accucore_C18_pos,2.2E+04,5.0E+04,8.4E+04,2.2E+04,3.9E+04,1.1E+05,1.4E+04,3.5E+04,7.1E+04,1.5E+04,7.9E+03,8.3E+04,2.4E+04,1.8E+04,4.1E+04,1.1E+04,1.4E+04,2.9E+04,2.7E+04,5.8E+04,2.2E+04,7.0E+04,5.7E+04,6.9E+04,2.6E+04,4.8E+04,3.8E+04,1.9E+04,9.3E+04,3.6E+04,2.0E+04,2.4E+04,2.5E+04,2.8E+04,3.3E+04,3.3E+04,4.0E+04,LPE(18:0)+H,(18:0),LPE,C23 H49 O7 N1 P1,4.356522377,482.3241185,4.248294326,1.080018742
4.34_480.3096m/z,480.3096,4.34,14417.40979,Accucore_C18_neg,1.2E+04,1.7E+04,4.7E+04,1.1E+04,2.4E+04,4.8E+04,6.9E+03,1.4E+04,3.7E+04,4.3E+03,4.9E+02,4.5E+04,9.9E+03,7.3E+03,2.4E+04,3.4E+03,5.0E+03,1.3E+04,1.4E+04,2.9E+04,2.0E+04,3.8E+04,3.0E+04,3.3E+04,2.8E+03,1.9E+04,2.0E+04,1.3E+04,4.5E+04,1.8E+04,9.4E+03,9.1E+03,1.5E+04,1.4E+04,1.6E+04,1.3E+04,1.4E+04,LPE(18:0)-H,(18:0),LPE,C23 H47 O7 N1 P1,4.356522377,480.3095655,20,0.769713609
2.28_504.3076m/z,504.3076,2.28,7594.896569,Accucore_C18_pos,1.5E+03,2.5E+04,2.4E+04,3.2E+03,1.9E+04,3.6E+04,1.0E+03,7.9E+03,2.4E+04,5.6E+02,0.0E+00,5.6E+03,6.9E+03,4.5E+03,1.1E+04,1.7E+02,0.0E+00,1.7E+03,1.9E+04,3.2E+04,2.4E+04,7.2E+04,1.0E+05,5.8E+04,2.6E+04,1.7E+04,3.3E+04,7.3E+03,8.1E+04,3.5E+03,3.3E+02,0.0E+00,1.5E+03,1.2E+03,1.3E+04,1.4E+04,1.7E+04,LPE(20:3)+H,(20:3),LPE,C25 H47 O7 N1 P1,2.29887691,504.3084685,4.62068093,1.248714737
2.28_502.2942m/z,502.2942,2.28,5705.340301,Accucore_C18_neg,1.1E+03,1.1E+04,1.5E+04,2.5E+03,1.1E+04,1.9E+04,1.7E+02,4.4E+03,1.3E+04,4.4E+02,0.0E+00,6.0E+03,2.1E+03,4.2E+03,7.0E+03,8.6E+01,0.0E+00,1.3E+03,9.8E+03,1.4E+04,1.6E+04,4.1E+04,5.7E+04,3.2E+04,7.9E+03,8.3E+03,1.9E+04,5.4E+03,4.4E+04,2.6E+03,3.1E+02,0.0E+00,1.7E+03,1.1E+03,8.4E+03,6.8E+03,9.7E+03,LPE(20:3)-H,(20:3),LPE,C25 H45 O7 N1 P1,2.29887691,502.2939155,8.599760482,2.840923341
1.70_500.2785m/z,500.2785,1.70,24825.30322,Accucore_C18_neg,2.4E+02,2.5E+04,3.6E+04,8.2E+02,2.0E+04,3.7E+04,0.0E+00,1.5E+04,3.9E+04,4.2E+02,1.0E+04,9.4E+04,8.4E+02,2.5E+04,3.7E+04,2.8E+02,1.2E+04,2.1E+04,6.6E+04,9.2E+04,5.1E+04,1.4E+05,1.7E+05,1.6E+05,5.4E+04,4.0E+05,1.6E+04,9.1E+04,6.3E+04,9.0E+04,1.5E+03,1.1E+03,3.1E+02,1.8E+02,3.6E+04,3.3E+04,3.9E+04,LPE(20:4)-H,(20:4),LPE,C25 H43 O7 N1 P1,1.7018282,500.2782655,11.098586,1.732771946
3.15_599.3207m/z,599.3207,3.15,14541.13064,Accucore_C18_neg,1.2E+02,7.5E+04,1.3E+05,1.4E+02,4.4E+04,1.2E+05,0.0E+00,5.1E+04,8.7E+04,2.5E+02,1.0E+04,7.0E+04,1.1E+03,3.0E+04,5.3E+04,0.0E+00,1.7E+04,3.2E+04,7.6E+02,6.7E+04,3.7E+02,6.6E+04,6.9E+03,7.6E+04,4.7E+02,3.8E+04,4.9E+03,1.3E+04,1.6E+04,1.8E+04,0.0E+00,2.3E+02,2.1E+03,2.9E+03,2.5E+04,2.1E+04,2.5E+04,LPI(18:0)-H,(18:0),LPI,C27 H52 O12 N0 P1,3.163910186,599.3201915,30.48971906,1.16383554
1.78_621.3049m/z,621.3049,1.78,8939.549665,Accucore_C18_neg,0.0E+00,1.5E+05,1.4E+05,3.0E+02,5.2E+04,1.3E+05,0.0E+00,8.8E+04,6.9E+04,2.2E+03,3.4E+03,2.2E+04,3.6E+03,6.3E+04,3.8E+04,5.9E+02,1.3E+04,1.2E+04,0.0E+00,4.0E+04,0.0E+00,1.0E+05,1.8E+02,9.9E+04,0.0E+00,7.5E+03,3.1E+04,1.0E+04,5.7E+04,6.4E+03,0.0E+00,0.0E+00,2.7E+03,2.3E+03,2.5E+04,2.3E+04,2.5E+04,LPI(20:3)-H,(20:3),LPI,C29 H50 O12 N0 P1,1.777069767,621.3045415,29.86916961,2.003608948
4.45_331.2837m/z,331.2837,4.45,134233.4623,Accucore_C18_pos,2.4E+05,1.4E+05,1.9E+05,1.3E+05,1.8E+05,1.1E+05,2.1E+05,1.8E+05,1.7E+05,1.6E+05,3.0E+05,3.2E+05,9.9E+04,1.4E+05,1.4E+05,1.4E+05,1.9E+05,1.2E+05,0.0E+00,7.1E+04,0.0E+00,5.7E+04,0.0E+00,6.4E+04,5.5E+04,9.2E+04,2.5E+04,7.1E+04,8.4E+04,9.4E+04,1.8E+05,1.6E+05,1.2E+05,1.4E+05,1.2E+05,1.2E+05,1.2E+05,MG(16:0)+H,(16:0),MG,C19 H39 O4,4.443128512,331.2842865,16.7700019,2.159662083
4.46_348.3103m/z,348.3103,4.46,77065.57893,Accucore_C18_pos,1.4E+05,8.2E+04,1.1E+05,7.5E+04,1.0E+05,6.2E+04,1.2E+05,1.1E+05,1.0E+05,9.6E+04,1.8E+05,1.8E+05,5.3E+04,8.1E+04,8.1E+04,8.1E+04,1.1E+05,7.4E+04,0.0E+00,3.9E+04,0.0E+00,3.2E+04,0.0E+00,3.7E+04,3.0E+04,5.1E+04,1.3E+04,3.7E+04,4.7E+04,5.2E+04,1.0E+05,9.3E+04,6.8E+04,7.9E+04,6.8E+04,6.7E+04,7.2E+04,MG(16:0)+NH4,(16:0),MG,C19 H42 O4 N1,4.443128512,348.3108355,10.74929154,2.173474083
6.57_359.3149m/z,359.3149,6.57,134039.1709,Accucore_C18_pos,2.5E+05,1.4E+05,1.9E+05,1.3E+05,2.0E+05,1.2E+05,2.0E+05,1.7E+05,1.7E+05,1.6E+05,2.8E+05,3.2E+05,1.1E+05,1.4E+05,1.5E+05,1.5E+05,1.9E+05,1.3E+05,0.0E+00,6.7E+04,0.0E+00,7.0E+04,0.0E+00,6.8E+04,6.6E+04,1.0E+05,3.3E+04,7.5E+04,9.4E+04,9.4E+04,2.0E+05,1.7E+05,1.2E+05,1.5E+05,1.2E+05,1.2E+05,1.4E+05,MG(18:0)+H,(18:0),MG,C21 H43 O4,6.573334572,359.3155865,19.9091805,3.70843217
6.57_376.3416m/z,376.3416,6.57,101398.7,Accucore_C18_pos,1.8E+05,1.1E+05,1.4E+05,9.6E+04,1.4E+05,9.0E+04,1.4E+05,1.3E+05,1.3E+05,1.2E+05,2.2E+05,2.4E+05,7.9E+04,1.0E+05,1.2E+05,1.1E+05,1.5E+05,9.8E+04,0.0E+00,4.9E+04,0.0E+00,5.3E+04,0.0E+00,4.9E+04,4.8E+04,7.2E+04,2.5E+04,5.3E+04,6.8E+04,7.2E+04,1.4E+05,1.2E+05,8.7E+04,1.1E+05,8.7E+04,9.2E+04,9.9E+04,MG(18:0)+NH4,(18:0),MG,C21 H46 O4 N1,6.573334572,376.3421355,17.29317521,3.736273836
8.77_728.5210m/z,728.5210,8.77,1203702.972,Accucore_C18_pos,5.1E+05,2.3E+06,3.4E+06,4.7E+05,1.9E+06,6.7E+06,4.9E+05,1.7E+06,3.4E+06,3.1E+05,9.9E+04,8.6E+05,1.1E+06,2.7E+05,4.9E+05,5.4E+05,1.9E+05,3.6E+05,1.5E+06,4.8E+06,1.3E+06,3.0E+06,2.8E+06,3.3E+06,8.3E+05,2.6E+05,1.7E+06,1.5E+06,1.9E+06,8.9E+05,9.7E+05,1.3E+06,1.1E+06,1.3E+06,9.6E+05,1.0E+06,1.1E+06,PC(10:0/22:3)+H,(10:0/22:3),PC,C40 H75 O8 N1 P1,8.721082448,728.5224835,9.639926182,1.029440065
12.38_732.5875m/z,732.5875,12.38,1687349.13,Accucore_C18_pos,3.8E+05,7.5E+06,1.0E+07,2.0E+05,5.1E+06,1.5E+07,2.0E+05,5.3E+06,9.0E+06,1.8E+05,1.3E+06,5.7E+06,3.3E+05,2.5E+06,3.6E+06,2.2E+05,2.1E+06,2.7E+06,2.4E+05,4.8E+06,2.6E+05,3.7E+06,3.6E+05,4.9E+06,3.2E+05,3.7E+06,5.3E+05,3.4E+06,1.0E+06,3.3E+06,1.4E+05,2.0E+05,1.8E+05,2.5E+05,1.6E+06,1.8E+06,1.7E+06,PC(10:1e/23:0)+H,(10:1e/23:0),PC,C41 H83 O7 N1 P1,12.34097978,732.5901685,8.9961408,0.561737713
9.21_716.5205m/z,716.5205,9.21,206126.2336,Accucore_C18_pos,6.4E+04,2.2E+06,3.2E+06,4.6E+04,1.9E+06,5.6E+06,4.7E+04,1.9E+06,3.3E+06,4.4E+03,4.1E+04,4.3E+05,7.2E+04,3.1E+05,4.8E+05,3.2E+04,2.0E+05,3.1E+05,1.5E+05,1.9E+06,4.8E+04,1.7E+06,6.1E+04,1.6E+06,6.0E+04,1.7E+05,2.1E+05,1.3E+06,2.4E+05,6.2E+05,3.1E+04,4.4E+04,4.8E+04,6.6E+04,5.5E+05,5.9E+05,5.8E+05,PC(11:0/20:2)+H,(11:0/20:2),PC,C39 H75 O8 N1 P1,9.217302591,716.5224835,13.05428065,1.216775193
8.78_716.5206m/z,716.5206,8.78,169829.2627,Accucore_C18_pos,5.0E+04,2.2E+06,3.4E+06,4.0E+04,1.9E+06,6.1E+06,3.4E+04,1.6E+06,3.6E+06,9.0E+02,3.6E+04,4.9E+05,5.6E+04,1.9E+05,3.8E+05,1.1E+04,1.5E+05,2.5E+05,6.3E+04,1.8E+06,2.0E+04,1.2E+06,2.9E+04,1.1E+06,1.5E+04,1.7E+05,1.8E+05,1.1E+06,1.7E+05,5.5E+05,1.7E+04,3.2E+04,4.9E+04,7.3E+04,3.9E+05,3.9E+05,3.9E+05,PC(11:0/20:2)+H,(11:0/20:2),PC,C39 H75 O8 N1 P1,8.793423626,716.5224835,9.639926182,0.923449082
9.11_738.5051m/z,738.5051,9.11,2711860.069,Accucore_C18_pos,9.0E+04,4.1E+06,5.5E+06,7.0E+04,3.6E+06,8.3E+06,8.4E+04,5.1E+06,6.5E+06,1.5E+05,2.7E+06,7.8E+06,2.8E+05,2.8E+06,3.5E+06,1.5E+05,3.6E+06,3.8E+06,5.2E+05,7.2E+06,3.6E+05,5.4E+06,7.4E+05,7.4E+06,3.8E+05,5.4E+06,4.0E+05,5.3E+06,9.9E+05,5.8E+06,3.8E+05,4.6E+05,2.0E+05,2.5E+05,2.0E+06,2.1E+06,2.1E+06,PC(11:0/22:5)+H| PE(16:1/20:4)+H,(11:0/22:5)| (16:1/20:4),PC| PE,C41 H73 O8 N1 P1| C41 H73 O8 N1 P1,9.2760627673614| 9.10734076577559,738.50683347| 738.50683347,16.1932218228398| 39.7230389031101,2.74815957877409| 0.203934913235221
8.57_702.5053m/z,702.5053,8.57,180096.7155,Accucore_C18_pos,1.4E+05,1.8E+05,2.8E+05,1.2E+05,1.6E+05,5.2E+05,1.3E+05,1.6E+05,3.3E+05,4.3E+04,9.1E+02,3.1E+04,2.6E+05,5.2E+03,1.8E+04,1.1E+05,5.4E+03,1.1E+04,3.7E+05,4.0E+05,3.0E+05,3.3E+05,5.2E+05,2.9E+05,1.8E+05,2.2E+03,3.4E+05,1.0E+05,2.6E+05,3.1E+04,2.1E+05,2.8E+05,2.8E+05,3.4E+05,1.3E+05,1.3E+05,1.3E+05,PC(12:0/18:2)+H,(12:0/18:2),PC,C38 H73 O8 N1 P1,8.566417544,702.5068335,9.466753669,1.400837467
8.76_702.5053m/z,702.5053,8.76,36520.59146,Accucore_C18_pos,1.1E+04,1.8E+05,2.9E+05,1.0E+04,1.3E+05,6.6E+05,6.6E+03,1.4E+05,2.8E+05,9.8E+02,0.0E+00,1.6E+04,2.9E+04,7.5E+02,7.0E+03,6.0E+03,5.9E+02,1.8E+03,6.1E+04,3.0E+05,4.0E+04,2.2E+05,1.4E+05,2.2E+05,1.6E+04,0.0E+00,6.8E+04,5.0E+04,7.0E+04,7.6E+03,2.2E+04,5.2E+04,3.3E+04,5.6E+04,2.8E+04,4.3E+04,6.4E+04,PC(12:0/18:2)+H,(12:0/18:2),PC,C38 H73 O8 N1 P1,8.566417544,702.5068335,9.466753669,1.400837467
10.42_736.5261m/z,736.5261,10.42,325409.9469,Accucore_C18_pos,4.2E+03,1.9E+06,2.4E+06,1.7E+02,1.5E+06,3.2E+06,5.4E+03,1.5E+06,2.2E+06,4.2E+03,2.3E+05,9.0E+05,2.1E+04,5.7E+05,7.5E+05,5.5E+03,4.2E+05,5.4E+05,9.6E+03,6.8E+05,3.6E+03,6.6E+05,4.3E+03,7.6E+05,2.4E+03,6.6E+05,1.7E+04,8.4E+05,2.6E+04,6.4E+05,4.4E+03,8.7E+03,9.4E+03,9.3E+03,3.9E+05,4.2E+05,4.2E+05,PC(12:0e/22:6)+H| PE(18:3e/17:0)+Na,(12:0e/22:6)| (18:3e/17:0),PC| PE,C42 H75 O7 N1 P1| C40 H76 O7 N1 P1 Na1,10.436| 10.195,736.52756847| 736.52516347,10.4026829154561| 7.46868800556856,2.70971592227184| 1.64715516893815
8.88_678.5051m/z,678.5051,8.88,896023.4973,Accucore_C18_pos,1.1E+06,9.0E+05,1.6E+06,8.6E+05,8.1E+05,2.5E+06,8.2E+05,8.1E+05,1.8E+06,4.9E+05,1.1E+05,6.2E+05,1.3E+06,1.6E+05,3.3E+05,6.9E+05,1.9E+05,2.8E+05,1.6E+06,2.1E+06,1.2E+06,1.2E+06,1.9E+06,1.3E+06,8.1E+05,2.7E+05,1.2E+06,4.4E+05,1.1E+06,2.4E+05,8.9E+05,1.1E+06,1.3E+06,1.4E+06,7.5E+05,7.3E+05,7.1E+05,PC(14:0/14:0)+H,(14:0/14:0),PC,C36 H73 O8 N1 P1,8.864991309,678.5068335,9.639926182,1.122803732
8.90_722.4987m/z,722.4987,8.90,160675.8005,Accucore_C18_neg,2.1E+05,8.5E+04,2.0E+05,1.8E+05,1.3E+05,2.1E+05,1.4E+05,6.6E+04,1.8E+05,7.0E+04,1.3E+04,5.3E+04,2.4E+05,1.5E+04,4.9E+04,1.1E+05,2.6E+04,3.0E+04,2.6E+05,2.5E+05,2.9E+05,1.7E+05,3.0E+05,1.6E+05,1.3E+05,2.1E+04,2.1E+05,8.0E+04,1.7E+05,2.5E+04,1.9E+05,1.6E+05,3.1E+05,2.6E+05,1.1E+05,8.1E+04,7.8E+04,PC(14:0/14:0)+HCOO,(14:0/14:0),PC,C37 H73 O10 N1 P1,8.864991309,722.4977605,37.27643513,0.487228972
11.47_692.5573m/z,692.5573,11.47,193445.9977,Accucore_C18_pos,8.7E+04,2.1E+06,3.3E+06,4.6E+04,1.5E+06,5.2E+06,4.3E+04,1.5E+06,3.0E+06,2.0E+03,1.2E+05,7.5E+05,8.9E+04,3.1E+05,5.6E+05,2.4E+04,2.2E+05,3.0E+05,6.5E+04,1.5E+06,5.1E+04,8.5E+05,1.0E+05,1.3E+06,3.1E+04,5.0E+05,7.0E+04,3.7E+05,1.7E+05,2.6E+05,1.6E+04,3.3E+04,5.2E+04,7.7E+04,3.3E+05,3.2E+05,3.3E+05,PC(14:0e/16:0)+H,(14:0e/16:0),PC,C38 H79 O7 N1 P1,11.47344539,692.5588685,9.639926182,0.911421979
13.18_718.5724m/z,718.5724,13.18,236898.1496,Accucore_C18_pos,4.1E+02,7.7E+05,1.3E+06,1.1E+03,5.1E+05,2.0E+06,1.1E+03,6.3E+05,1.2E+06,1.2E+03,2.4E+05,1.5E+06,2.2E+04,2.4E+05,4.5E+05,1.0E+03,2.6E+05,4.1E+05,5.9E+03,1.2E+06,1.2E+04,5.7E+05,5.0E+04,1.0E+06,1.4E+03,5.0E+05,1.8E+04,2.8E+05,2.2E+05,2.5E+05,1.6E+03,2.6E+03,6.1E+03,8.7E+03,1.5E+05,1.5E+05,1.5E+05,PC(14:0e/18:1)+H,(14:0e/18:1),PC,C40 H81 O7 N1 P1,13.18206016,718.5745185,9.639926182,1.895875646
11.54_718.5724m/z,718.5724,11.54,1659750.379,Accucore_C18_pos,1.0E+06,6.1E+06,8.6E+06,8.5E+05,4.5E+06,1.3E+07,7.7E+05,4.4E+06,7.2E+06,4.2E+05,1.2E+06,5.1E+06,1.3E+06,1.9E+06,2.8E+06,6.1E+05,1.4E+06,1.9E+06,8.9E+05,8.0E+06,8.0E+05,4.9E+06,1.4E+06,7.3E+06,8.4E+05,2.9E+06,1.4E+06,2.1E+06,2.7E+06,2.0E+06,5.8E+05,8.0E+05,9.8E+05,1.2E+06,1.7E+06,1.8E+06,1.8E+06,PC(14:0e/18:1)+H| PC(14:0e/18:1)+H,(14:0e/18:1)| (14:0e/18:1),PC| PC,C40 H81 O7 N1 P1| C40 H81 O7 N1 P1,11.4919317427692| 11.8,718.57451847| 718.57451847,13.0542806524781| 9.63992618206073,0.255635979509945| 0.605775202620714
