LipidIon,Class,FattyAcid,FA1,FA2,FA3,FA4,mScore,tScore,Mode,CalcMz,IonFormula,RT,Intensity,1O3_A,3O3_E,5O3_F,7O3_M,9O3_N,11O3_P,13O5_A,15O5_E,17O5_F,19O5_M,21O5_N,23O5_P,25O7_A,27O7_E,29O7_F,31O7_M,33O7_N,35O7_P,37O8_A,39O8_E,41O8_F,43O8_M,45O8_N,47O8_P,49PBS_1,51PBS_2,53PBS_3,55QC_1,57QC_2,59QC_3,61QC_4,63Y3_A,65Y3_E,67Y3_F,69Y3_M,71Y3_N,73Y3_P,75Y4_A,77Y4_E,79Y4_F,81Y4_M,83Y4_N,85Y4_P,87Y5_A,89Y5_E,91Y5_F,93Y5_M,95Y5_N,97Y5_P,99Y6_A,101Y6_E,103Y6_F,105Y6_M,107Y6_N,109Y6_P
PC(17:1/16:1)+H,PC,(17:1/16:1),(17:1),(16:1),,,19.9,0.2,Accucore_C18_pos,744.5538,C41 H79 O8 N1 P1,9.21,2.1E+08,1.7E+08,2.7E+08,1.0E+08,7.8E+07,2.3E+08,1.4E+08,2.2E+08,3.6E+08,3.4E+08,2.2E+08,1.9E+08,2.1E+08,1.5E+08,2.9E+08,1.5E+08,2.0E+08,2.4E+08,1.5E+08,8.2E+07,1.6E+08,8.2E+07,6.1E+07,1.6E+08,1.0E+08,0.0E+00,0.0E+00,0.0E+00,2.6E+08,2.6E+08,1.7E+08,2.5E+08,2.0E+08,4.8E+08,2.0E+08,2.1E+08,4.3E+08,2.4E+08,2.2E+08,3.6E+08,2.3E+08,5.9E+07,4.1E+08,1.6E+08,2.5E+08,4.5E+08,3.5E+08,2.8E+08,3.6E+08,2.2E+08,1.6E+08,3.4E+08,3.5E+08,9.9E+07,3.2E+08,1.9E+08
PC(17:1/16:1)+Na,PC,(17:1/16:1),(17:1),(16:1),,,32.3,0.2,Accucore_C18_pos,766.5357,C41 H78 O8 N1 P1 Na1,9.21,4.5E+07,4.3E+07,7.0E+07,2.1E+07,1.6E+07,3.2E+07,2.0E+07,5.2E+07,6.7E+07,5.4E+07,5.8E+07,2.6E+07,5.3E+07,4.0E+07,7.7E+07,5.8E+07,3.1E+07,5.9E+07,3.2E+07,1.8E+07,2.3E+07,1.6E+07,1.6E+07,3.6E+07,2.4E+07,4.0E+04,1.4E+04,5.6E+04,6.6E+07,3.2E+07,4.2E+07,5.4E+07,2.9E+07,1.1E+08,8.1E+07,5.6E+07,7.3E+07,6.9E+07,3.7E+07,9.0E+07,4.5E+07,1.2E+07,1.0E+08,2.5E+07,6.1E+07,1.1E+08,5.6E+07,3.3E+07,9.7E+07,5.8E+07,2.5E+07,8.9E+07,8.8E+07,2.2E+07,8.5E+07,4.5E+07
PC(17:1/16:1)+HCOO,PC,(17:1/16:1),(17:1),(16:1),,,31.5,0.1,Accucore_C18_neg,788.5447,C42 H79 O10 N1 P1,9.21,2.1E+07,1.8E+07,2.5E+07,2.3E+07,1.3E+07,2.6E+07,1.5E+07,2.1E+07,3.9E+07,3.0E+07,2.1E+07,2.0E+07,2.4E+07,1.3E+07,3.2E+07,1.3E+07,1.8E+07,2.1E+07,1.7E+07,1.0E+07,2.1E+07,1.7E+07,1.0E+07,2.0E+07,1.2E+07,0.0E+00,0.0E+00,0.0E+00,2.6E+07,2.6E+07,2.6E+07,2.5E+07,2.3E+07,4.1E+07,3.3E+07,1.9E+07,3.3E+07,2.0E+07,2.1E+07,3.4E+07,3.8E+07,4.9E+06,1.5E+07,1.6E+07,2.4E+07,4.1E+07,1.7E+07,3.2E+07,3.4E+07,1.9E+07,1.8E+07,3.0E+07,3.2E+07,2.2E+07,2.7E+07,2.0E+07
PS(17:1/20:3)-H,PS,(17:1/20:3),(17:1),(20:3),,,7.3,1.1,Accucore_C18_neg,796.5134,C43 H75 O10 N1 P1,9.22,2.8E+07,4.9E+07,5.4E+07,0.0E+00,5.6E+07,7.9E+05,1.7E+06,1.0E+06,4.3E+05,4.3E+07,5.1E+07,2.4E+07,2.7E+07,4.8E+07,3.2E+07,1.9E+07,6.6E+07,6.5E+07,9.8E+05,6.7E+05,1.4E+06,1.7E+07,6.2E+07,1.3E+06,3.0E+07,0.0E+00,0.0E+00,0.0E+00,2.8E+07,3.0E+07,3.0E+07,3.1E+07,1.4E+06,4.1E+07,9.4E+05,6.3E+07,2.8E+07,5.9E+07,5.0E+07,6.4E+07,3.1E+05,2.5E+07,8.2E+07,2.7E+07,7.9E+05,3.7E+07,4.1E+07,2.3E+06,1.4E+06,2.5E+07,2.8E+07,6.0E+07,4.0E+07,1.7E+06,5.5E+07,2.3E+07
PS(17:1/20:3)+H,PS,(17:1/20:3),(17:1),(20:3),,,3.4,1.2,Accucore_C18_pos,798.5280,C43 H77 O10 N1 P1,9.22,6.5E+06,1.2E+07,1.4E+07,1.1E+05,1.4E+07,4.5E+05,5.7E+05,3.1E+05,1.3E+05,1.2E+07,1.3E+07,5.7E+06,6.4E+06,1.1E+07,8.2E+06,4.6E+06,1.6E+07,1.6E+07,8.7E+04,1.9E+05,3.7E+04,4.6E+06,1.5E+07,4.3E+05,6.4E+06,0.0E+00,0.0E+00,0.0E+00,8.4E+06,8.0E+06,7.6E+06,7.1E+06,5.7E+05,1.1E+07,3.3E+05,1.5E+07,7.7E+06,1.7E+07,1.2E+07,1.7E+07,9.4E+04,5.8E+06,2.3E+07,6.0E+06,2.8E+05,9.8E+06,1.1E+07,1.2E+06,4.5E+05,6.5E+06,6.7E+06,1.5E+07,1.0E+07,3.4E+05,1.5E+07,6.0E+06
PS(16:1/19:0)-H,PS,(16:1/19:0),(16:1),(19:0),,,6.7,2.6,Accucore_C18_neg,774.5291,C41 H77 O10 N1 P1,9.22,8.7E+05,2.1E+06,3.2E+06,3.3E+05,8.7E+05,1.3E+05,5.1E+04,3.0E+05,7.4E+05,1.4E+06,1.0E+06,9.1E+05,1.2E+06,6.6E+04,4.6E+06,7.4E+05,2.7E+06,1.8E+06,7.3E+04,2.7E+05,2.0E+05,5.1E+05,1.9E+06,2.3E+05,1.5E+06,0.0E+00,0.0E+00,0.0E+00,3.7E+05,8.7E+05,1.9E+06,7.1E+05,2.2E+05,2.8E+06,7.8E+05,6.8E+05,4.2E+05,2.2E+06,3.2E+06,3.4E+06,2.0E+06,7.1E+05,3.1E+06,4.5E+05,2.7E+05,1.6E+06,1.5E+06,1.3E+06,4.5E+05,3.7E+04,2.1E+06,3.2E+06,2.5E+06,5.7E+05,9.4E+05,1.1E+06
PE(17:1/22:6)+H,PE,(17:1/22:6),(17:1),(22:6),,,5.9,0.0,Accucore_C18_pos,776.5225,C44 H75 O8 N1 P1,9.22,3.4E+05,1.0E+05,2.0E+05,7.0E+05,3.1E+04,8.7E+05,2.1E+05,1.0E+06,1.1E+06,1.0E+05,4.4E+05,1.3E+05,2.1E+05,2.5E+05,1.1E+06,1.2E+05,1.9E+05,6.3E+05,4.8E+05,7.5E+04,1.7E+05,2.2E+05,4.8E+04,6.3E+05,1.2E+05,0.0E+00,0.0E+00,0.0E+00,5.1E+05,9.0E+04,6.2E+05,5.7E+05,8.7E+05,4.8E+05,2.5E+05,3.4E+05,9.3E+05,3.4E+05,4.6E+05,2.8E+05,1.2E+06,2.7E+05,4.6E+05,8.7E+04,1.2E+06,2.2E+06,4.2E+05,9.2E+05,1.0E+06,3.6E+05,6.6E+04,1.2E+05,5.4E+05,1.2E+06,6.3E+05,2.6E+05
PE(16:1/18:2)-H,PE,(16:1/18:2),(16:1),(18:2),,,10.9,0.2,Accucore_C18_neg,712.4923,C39 H71 O8 N1 P1,9.22,3.2E+05,0.0E+00,6.9E+05,3.6E+05,3.7E+04,5.7E+05,1.3E+05,3.4E+05,2.9E+06,1.1E+05,4.5E+04,1.6E+05,2.1E+05,9.7E+04,2.2E+06,1.2E+05,7.3E+04,4.5E+05,6.0E+05,1.4E+05,1.1E+06,3.6E+04,0.0E+00,3.3E+05,5.4E+04,0.0E+00,0.0E+00,0.0E+00,4.2E+05,8.1E+05,4.7E+05,6.0E+05,4.9E+05,2.6E+06,4.1E+05,9.8E+04,2.9E+05,8.1E+04,6.9E+04,2.5E+06,5.1E+05,8.3E+04,1.8E+05,7.4E+05,3.1E+05,3.0E+06,3.3E+05,7.5E+05,8.5E+05,4.4E+05,7.7E+04,1.2E+06,1.8E+05,1.7E+05,4.1E+05,3.2E+05
PS(17:0/22:6)+H,PS,(17:0/22:6),(17:0),(22:6),,,5.2,0.7,Accucore_C18_pos,822.5280,C45 H77 O10 N1 P1,9.23,4.1E+06,2.6E+06,3.8E+06,1.6E+06,2.8E+06,4.6E+06,1.9E+06,3.1E+06,4.8E+06,3.9E+06,4.5E+06,4.7E+06,3.7E+06,3.7E+06,6.1E+06,2.7E+06,4.2E+06,5.4E+06,1.5E+06,9.5E+05,1.8E+06,1.5E+06,2.6E+06,2.6E+06,1.5E+06,0.0E+00,0.0E+00,0.0E+00,4.4E+06,4.2E+06,6.0E+06,3.7E+06,3.1E+06,8.4E+06,3.0E+06,5.5E+06,9.4E+06,8.2E+06,4.5E+06,5.9E+06,4.7E+06,4.1E+06,8.8E+06,3.9E+06,4.3E+06,7.6E+06,4.4E+06,6.8E+06,8.5E+06,7.0E+06,4.1E+06,4.9E+06,4.1E+06,3.8E+06,7.6E+06,5.6E+06
PS(17:0/22:6)-H,PS,(17:0/22:6),(17:0),(22:6),,,17.3,0.3,Accucore_C18_neg,820.5134,C45 H75 O10 N1 P1,9.23,1.3E+06,5.4E+05,4.6E+05,6.0E+05,5.5E+05,2.1E+06,6.3E+05,8.2E+05,1.9E+06,5.5E+05,1.3E+06,1.7E+06,1.5E+06,1.1E+05,1.5E+06,8.3E+05,9.3E+05,1.5E+06,7.7E+05,5.1E+05,7.5E+05,2.0E+05,2.8E+05,1.1E+06,1.8E+05,0.0E+00,0.0E+00,0.0E+00,6.7E+05,1.6E+06,1.5E+06,2.0E+06,1.4E+06,2.5E+06,1.3E+06,1.7E+06,2.5E+06,1.7E+06,1.5E+06,9.3E+05,1.7E+06,1.9E+05,6.9E+05,9.1E+05,1.8E+06,2.4E+06,1.3E+06,2.1E+06,3.6E+06,2.2E+06,9.0E+05,1.6E+06,6.0E+05,2.0E+06,2.9E+06,1.4E+06
TG(16:0/11:4/20:4)+K,TG,(16:0/11:4/20:4),(16:0),(11:4),(20:4),,11.7,3.6,Accucore_C18_pos,815.5586,C50 H80 O6 K1,9.23,5.9E+06,1.0E+07,1.3E+07,0.0E+00,1.3E+07,3.1E+04,7.7E+04,7.2E+03,6.7E+04,1.0E+07,1.2E+07,2.5E+06,5.9E+06,1.1E+07,7.1E+06,3.7E+06,1.6E+07,1.5E+07,9.4E+04,3.4E+04,4.0E+04,4.3E+06,1.3E+07,2.3E+04,5.4E+06,0.0E+00,0.0E+00,0.0E+00,7.4E+06,6.6E+06,6.8E+06,7.6E+06,8.0E+04,1.0E+07,1.1E+05,1.5E+07,7.4E+06,1.6E+07,1.1E+07,1.7E+07,9.3E+03,5.3E+06,2.1E+07,5.2E+06,2.7E+04,9.0E+06,9.3E+06,2.9E+05,2.5E+04,4.4E+06,6.9E+06,1.5E+07,9.6E+06,1.3E+04,1.4E+07,4.9E+06
PC(16:1e/20:4)+H,PC,(16:1e/20:4),(16:1e),(20:4),,,8.1,0.5,Accucore_C18_pos,766.5745,C44 H81 O7 N1 P1,9.24,8.4E+06,9.9E+06,9.8E+06,3.5E+06,7.1E+06,6.0E+06,1.0E+07,8.1E+06,8.8E+06,4.5E+06,1.2E+07,3.8E+06,8.6E+06,9.0E+06,1.1E+07,4.4E+06,1.2E+07,5.3E+06,1.0E+07,5.4E+06,6.3E+06,2.4E+06,7.0E+06,6.3E+06,6.0E+06,5.2E+04,6.6E+04,1.8E+05,8.4E+06,8.5E+06,9.2E+06,9.7E+06,8.8E+06,1.4E+07,4.4E+06,1.1E+07,9.3E+06,1.2E+07,1.0E+07,1.3E+07,4.1E+06,5.8E+06,9.2E+06,8.2E+06,8.0E+06,1.4E+07,5.6E+06,1.0E+07,7.1E+06,9.5E+06,7.7E+06,1.1E+07,4.5E+06,8.6E+06,7.9E+06,9.1E+06
PC(16:1e/20:4)+Na,PC,(16:1e/20:4),(16:1e),(20:4),,,6.5,0.3,Accucore_C18_pos,788.5565,C44 H80 O7 N1 P1 Na1,9.24,1.4E+06,1.5E+06,3.2E+06,2.2E+05,1.7E+06,1.7E+05,1.2E+06,1.7E+06,2.5E+06,7.0E+05,2.8E+05,1.5E+05,1.8E+06,1.4E+06,2.8E+06,1.5E+05,2.9E+06,9.7E+05,6.1E+05,1.3E+06,9.0E+05,2.9E+05,2.5E+06,1.1E+06,1.4E+06,0.0E+00,0.0E+00,0.0E+00,2.4E+06,1.2E+06,2.2E+06,1.8E+06,2.5E+06,4.8E+06,1.9E+05,2.7E+06,1.7E+06,1.8E+06,2.9E+06,3.0E+06,5.6E+05,1.4E+06,8.2E+05,2.0E+06,2.0E+06,1.4E+06,5.3E+05,1.2E+06,1.9E+05,1.5E+06,1.6E+06,2.1E+06,1.5E+05,1.9E+06,7.3E+05,3.2E+05
DG(18:3e/16:1)+H,DG,(18:3e/16:1),(18:3e),(16:1),,,3.3,0.6,Accucore_C18_pos,575.5034,C37 H67 O4,9.24,3.6E+07,6.1E+07,9.3E+07,6.4E+05,4.4E+07,9.6E+06,1.8E+06,8.1E+06,1.3E+06,7.3E+07,5.0E+07,2.1E+07,3.7E+07,5.9E+07,4.6E+07,3.2E+07,7.5E+07,6.6E+07,1.2E+06,1.0E+06,2.0E+06,2.0E+07,5.4E+07,1.8E+06,3.6E+07,8.5E+03,1.3E+04,6.6E+03,3.7E+07,3.6E+07,4.9E+07,5.3E+07,9.3E+06,7.7E+07,2.1E+05,7.4E+07,3.9E+07,9.9E+07,6.7E+07,1.1E+08,2.6E+06,2.3E+07,1.1E+08,3.1E+07,2.1E+06,6.3E+07,8.1E+07,1.3E+07,1.8E+06,3.3E+07,3.9E+07,1.2E+08,5.7E+07,7.6E+05,6.2E+07,2.7E+07
PC(16:1/16:1)+Na,PC,(16:1/16:1),(16:1),(16:1),,,12.4,0.5,Accucore_C18_pos,752.5201,C40 H76 O8 N1 P1 Na1,9.25,6.3E+07,4.2E+07,3.9E+07,4.8E+07,2.3E+07,7.8E+07,5.6E+07,8.7E+07,9.9E+07,5.5E+07,5.6E+07,6.6E+07,6.3E+07,3.6E+07,7.2E+07,4.8E+07,4.6E+07,5.9E+07,6.2E+07,3.4E+07,4.4E+07,2.8E+07,1.6E+07,5.9E+07,2.5E+07,4.3E+03,2.5E+04,4.1E+04,6.7E+07,7.2E+07,6.7E+07,6.9E+07,9.2E+07,1.1E+08,9.8E+07,5.1E+07,1.3E+08,6.2E+07,5.5E+07,7.3E+07,1.0E+08,4.0E+07,1.0E+08,5.2E+07,8.4E+07,1.2E+08,6.4E+07,1.1E+08,1.4E+08,7.8E+07,4.8E+07,6.9E+07,6.6E+07,7.2E+07,9.4E+07,6.5E+07
PC(16:1/16:1)+H,PC,(16:1/16:1),(16:1),(16:1),,,18.4,0.5,Accucore_C18_pos,730.5381,C40 H77 O8 N1 P1,9.25,4.1E+06,4.0E+06,9.4E+06,2.0E+06,1.7E+06,6.4E+06,1.9E+06,2.0E+06,1.8E+07,8.6E+06,5.9E+06,2.7E+06,3.1E+06,4.1E+06,1.6E+07,4.0E+06,5.9E+06,8.7E+06,2.1E+06,5.0E+05,1.4E+07,3.3E+06,4.0E+06,3.9E+06,4.3E+05,9.1E+03,1.1E+04,4.3E+03,9.6E+06,3.0E+07,1.4E+07,1.2E+07,4.0E+06,2.2E+07,5.9E+06,4.9E+06,1.2E+07,6.5E+06,6.0E+06,4.9E+07,6.7E+06,1.5E+06,1.4E+07,4.7E+06,3.5E+06,5.0E+07,7.7E+06,4.1E+06,7.7E+06,3.9E+06,4.0E+06,1.4E+07,3.0E+06,2.8E+06,3.9E+06,2.8E+06
PC(16:1/16:1)+HCOO,PC,(16:1/16:1),(16:1),(16:1),,,7.3,0.3,Accucore_C18_neg,774.5291,C41 H77 O10 N1 P1,9.25,8.7E+05,2.1E+06,3.1E+06,4.1E+05,8.7E+05,5.9E+05,3.9E+05,3.0E+05,1.1E+05,3.0E+06,3.0E+06,9.1E+05,1.2E+06,7.6E+05,2.1E+06,9.1E+04,1.7E+06,2.2E+06,7.3E+04,3.6E+05,2.0E+05,7.7E+05,8.1E+05,2.3E+05,1.5E+06,0.0E+00,0.0E+00,0.0E+00,3.7E+05,8.7E+05,1.8E+06,1.8E+05,1.3E+05,2.8E+06,7.6E+05,1.0E+06,1.1E+06,2.2E+06,2.0E+06,3.4E+06,1.5E+06,1.2E+05,3.1E+06,1.3E+06,9.5E+05,1.6E+06,2.7E+06,3.0E+05,4.5E+05,4.9E+05,8.3E+05,3.2E+06,2.5E+06,3.8E+05,9.4E+05,1.1E+06
PS(17:1/18:1)-H,PS,(17:1/18:1),(17:1),(18:1),,,13.8,1.2,Accucore_C18_neg,772.5134,C41 H75 O10 N1 P1,9.25,1.7E+07,2.8E+07,4.0E+07,1.2E+05,2.2E+07,1.7E+05,6.8E+05,8.1E+05,2.5E+05,3.0E+07,2.4E+07,1.1E+07,1.8E+07,2.9E+07,2.5E+07,1.1E+07,2.6E+07,3.0E+07,1.4E+05,2.4E+05,6.5E+05,1.1E+07,2.1E+07,2.3E+05,2.0E+07,0.0E+00,0.0E+00,0.0E+00,1.7E+07,1.8E+07,1.9E+07,1.8E+07,7.9E+05,3.3E+07,5.1E+05,2.7E+07,1.7E+07,4.0E+07,2.8E+07,5.3E+07,1.5E+05,7.5E+06,5.0E+07,1.5E+07,2.0E+05,2.7E+07,2.8E+07,4.5E+05,6.0E+05,1.6E+07,1.5E+07,4.9E+07,2.6E+07,2.6E+05,3.0E+07,1.5E+07
PS(17:1/18:1)+Na,PS,(17:1/18:1),(17:1),(18:1),,,5.1,1.4,Accucore_C18_pos,796.5099,C41 H76 O10 N1 P1 Na1,9.25,2.8E+06,9.5E+06,1.1E+07,2.7E+05,7.6E+06,3.2E+05,2.4E+05,4.5E+05,3.8E+05,7.9E+06,7.2E+06,2.3E+06,5.2E+06,1.0E+07,7.5E+06,1.3E+06,7.2E+06,1.3E+07,3.1E+05,1.8E+05,2.0E+05,1.8E+06,6.5E+06,2.8E+05,2.4E+06,0.0E+00,0.0E+00,0.0E+00,5.4E+06,5.6E+06,2.8E+06,4.6E+06,3.6E+05,9.7E+06,3.7E+05,5.4E+06,4.3E+05,1.0E+07,8.9E+06,1.9E+07,4.7E+05,1.0E+06,1.7E+07,4.7E+06,3.3E+05,1.0E+07,2.4E+06,2.5E+05,4.4E+05,2.6E+06,3.9E+06,1.2E+07,6.7E+06,2.9E+05,8.0E+06,4.8E+06
DG(14:0e/18:1)+Na,DG,(14:0e/18:1),(14:0e),(18:1),,,3.2,0.7,Accucore_C18_pos,575.5010,C35 H68 O4 Na1,9.25,3.1E+07,6.1E+07,8.5E+07,2.1E+06,4.4E+07,1.7E+06,2.1E+06,2.9E+06,1.3E+06,6.7E+07,5.0E+07,2.1E+07,3.7E+07,5.9E+07,4.6E+07,2.5E+07,5.6E+07,6.6E+07,1.6E+06,1.1E+06,2.0E+06,2.1E+07,4.2E+07,1.5E+06,3.0E+07,7.0E+03,1.3E+04,6.6E+03,3.7E+07,3.6E+07,4.9E+07,3.5E+07,3.1E+06,9.3E+07,1.9E+06,2.3E+07,4.0E+07,9.0E+07,8.3E+07,1.1E+08,2.6E+06,1.6E+07,1.1E+08,3.1E+07,1.9E+06,6.3E+07,8.1E+07,9.1E+06,1.8E+06,3.3E+07,3.0E+07,1.2E+08,5.7E+07,1.4E+06,6.2E+07,2.7E+07
PI(18:0/20:5)-H,PI,(18:0/20:5),(18:0),(20:5),,,28.9,0.2,Accucore_C18_neg,883.5342,C47 H80 O13 N0 P1,9.26,1.8E+06,1.8E+06,1.6E+06,1.1E+06,2.0E+06,2.5E+06,9.6E+05,9.4E+05,1.8E+06,2.7E+06,1.9E+06,2.1E+06,2.3E+06,2.9E+06,2.0E+06,2.2E+06,1.8E+06,2.4E+06,9.5E+05,1.0E+06,1.1E+06,2.3E+06,1.9E+06,1.9E+06,1.3E+06,0.0E+00,0.0E+00,0.0E+00,1.8E+06,1.8E+06,1.7E+06,1.9E+06,1.1E+06,1.8E+06,1.9E+06,2.0E+06,1.4E+06,1.7E+06,2.7E+06,1.4E+06,2.3E+06,1.7E+06,1.7E+06,1.8E+06,7.0E+05,1.5E+06,2.8E+06,9.0E+05,1.3E+06,1.4E+06,1.4E+06,1.8E+06,2.6E+06,9.5E+05,1.4E+06,1.2E+06
PS(17:1/22:6)-H,PS,(17:1/22:6),(17:1),(22:6),,,3.3,0.3,Accucore_C18_neg,818.4978,C45 H73 O10 N1 P1,9.26,3.0E+06,1.6E+06,2.0E+06,2.8E+06,1.1E+06,4.6E+06,3.0E+06,4.6E+06,5.6E+06,2.5E+06,2.3E+06,3.6E+06,2.9E+06,1.7E+06,3.2E+06,2.4E+06,2.0E+06,2.4E+06,3.4E+06,1.9E+06,2.4E+06,1.4E+06,6.3E+05,3.1E+06,1.3E+06,0.0E+00,0.0E+00,0.0E+00,2.8E+06,3.4E+06,2.9E+06,3.2E+06,4.8E+06,4.6E+06,5.3E+06,2.3E+06,5.8E+06,2.5E+06,2.2E+06,2.4E+06,4.7E+06,2.4E+06,3.4E+06,2.5E+06,5.8E+06,5.2E+06,3.0E+06,5.3E+06,6.6E+06,3.2E+06,3.0E+06,3.2E+06,3.0E+06,4.2E+06,3.7E+06,3.2E+06
DG(16:2e/16:1)+H,DG,(16:2e/16:1),(16:2e),(16:1),,,3.3,1.2,Accucore_C18_pos,549.4877,C35 H65 O4,9.26,3.3E+06,4.8E+06,1.1E+07,6.4E+04,5.6E+06,8.7E+05,4.5E+05,3.0E+05,1.5E+05,7.1E+06,6.3E+06,3.1E+06,3.0E+06,6.5E+06,8.4E+06,1.5E+06,7.9E+06,8.3E+06,2.7E+05,1.0E+05,5.2E+05,3.1E+06,5.4E+06,2.0E+05,2.4E+06,0.0E+00,0.0E+00,0.0E+00,4.3E+06,3.3E+06,1.6E+06,4.9E+06,1.1E+05,5.9E+06,5.1E+05,6.7E+06,3.4E+06,7.2E+06,6.4E+06,1.6E+07,8.0E+05,1.8E+06,1.3E+07,4.4E+06,3.2E+05,6.8E+06,7.8E+06,2.6E+05,5.0E+05,6.2E+06,3.3E+06,1.1E+07,6.4E+06,6.0E+04,7.9E+06,3.7E+06
PS(17:1/16:0)-H,PS,(17:1/16:0),(17:1),(16:0),,,6.0,0.8,Accucore_C18_neg,746.4978,C39 H73 O10 N1 P1,9.28,1.3E+06,2.6E+06,4.4E+06,8.4E+04,3.1E+06,3.7E+05,4.4E+04,6.8E+04,2.5E+05,2.8E+06,1.9E+06,1.2E+06,1.3E+06,2.9E+06,2.6E+06,9.2E+05,2.3E+06,2.7E+06,1.6E+05,1.2E+05,1.8E+05,1.1E+06,2.5E+06,3.9E+05,1.3E+06,0.0E+00,0.0E+00,0.0E+00,9.4E+05,1.5E+06,1.9E+06,2.0E+06,7.6E+04,7.6E+05,2.2E+05,4.0E+06,1.5E+06,3.6E+06,2.1E+06,6.2E+06,2.0E+05,9.8E+05,5.9E+06,1.5E+06,1.5E+05,3.2E+06,3.5E+06,2.0E+04,4.5E+05,1.4E+06,1.6E+06,5.1E+06,2.2E+06,9.0E+03,3.5E+06,1.1E+06
PC(18:4/16:1)+H,PC,(18:4/16:1),(18:4),(16:1),,,8.0,1.6,Accucore_C18_pos,752.5225,C42 H75 O8 N1 P1,9.28,6.3E+07,4.2E+07,3.9E+07,4.8E+07,2.3E+07,7.8E+07,5.6E+07,8.7E+07,9.9E+07,5.5E+07,5.6E+07,6.6E+07,6.3E+07,3.6E+07,7.2E+07,4.8E+07,4.6E+07,5.9E+07,6.2E+07,3.4E+07,4.4E+07,2.8E+07,1.6E+07,5.9E+07,2.5E+07,1.4E+04,2.5E+04,4.1E+04,6.7E+07,7.2E+07,6.7E+07,6.9E+07,9.2E+07,1.1E+08,9.8E+07,5.1E+07,1.3E+08,6.2E+07,5.5E+07,7.3E+07,1.0E+08,4.0E+07,1.0E+08,5.2E+07,8.4E+07,1.2E+08,6.4E+07,1.1E+08,1.4E+08,7.8E+07,4.8E+07,6.9E+07,6.6E+07,7.2E+07,9.4E+07,6.5E+07
PE(17:1/20:4)+H,PE,(17:1/20:4),(17:1),(20:4),,,35.9,0.4,Accucore_C18_pos,752.5225,C42 H75 O8 N1 P1,9.28,6.3E+07,4.2E+07,3.9E+07,4.8E+07,2.3E+07,7.8E+07,5.6E+07,8.7E+07,9.9E+07,5.5E+07,5.6E+07,6.6E+07,6.3E+07,3.6E+07,7.2E+07,4.8E+07,4.6E+07,5.9E+07,6.2E+07,3.4E+07,4.4E+07,2.8E+07,1.6E+07,5.9E+07,2.5E+07,1.4E+04,2.5E+04,4.1E+04,6.7E+07,7.2E+07,6.7E+07,6.9E+07,9.2E+07,1.1E+08,9.8E+07,5.1E+07,1.3E+08,6.2E+07,5.5E+07,7.3E+07,1.0E+08,4.0E+07,1.0E+08,5.2E+07,8.4E+07,1.2E+08,6.4E+07,1.1E+08,1.4E+08,7.8E+07,4.8E+07,6.9E+07,6.6E+07,7.2E+07,9.4E+07,6.5E+07
PE(17:1/20:4)-H,PE,(17:1/20:4),(17:1),(20:4),,,40.1,0.2,Accucore_C18_neg,750.5079,C42 H73 O8 N1 P1,9.28,2.4E+07,1.7E+07,1.7E+07,2.3E+07,1.1E+07,3.3E+07,2.4E+07,3.7E+07,4.4E+07,1.9E+07,2.0E+07,2.5E+07,2.5E+07,1.3E+07,2.7E+07,2.0E+07,1.6E+07,1.9E+07,2.6E+07,1.6E+07,1.9E+07,1.1E+07,6.1E+06,2.4E+07,1.1E+07,0.0E+00,0.0E+00,0.0E+00,2.6E+07,2.7E+07,2.9E+07,2.4E+07,3.3E+07,3.5E+07,4.0E+07,2.0E+07,4.6E+07,2.0E+07,1.9E+07,2.3E+07,4.1E+07,1.8E+07,3.2E+07,2.4E+07,4.2E+07,4.1E+07,2.5E+07,4.1E+07,4.6E+07,3.0E+07,2.1E+07,2.2E+07,2.5E+07,3.2E+07,3.7E+07,2.6E+07
PE(17:1/20:4)+Na,PE,(17:1/20:4),(17:1),(20:4),,,60.2,0.4,Accucore_C18_pos,774.5044,C42 H74 O8 N1 P1 Na1,9.28,7.7E+06,3.9E+06,3.3E+06,7.7E+06,2.0E+06,1.6E+07,1.1E+07,1.7E+07,1.4E+07,4.5E+06,6.4E+06,8.5E+06,8.9E+06,3.2E+06,8.4E+06,5.5E+06,3.7E+06,5.7E+06,9.3E+06,5.9E+06,6.8E+06,2.6E+06,1.3E+06,8.1E+06,2.5E+06,0.0E+00,0.0E+00,0.0E+00,1.0E+07,9.5E+06,6.2E+06,1.1E+07,1.7E+07,1.5E+07,1.5E+07,4.2E+06,1.9E+07,5.0E+06,5.0E+06,5.8E+06,1.5E+07,4.5E+06,9.2E+06,7.3E+06,1.9E+07,1.2E+07,6.0E+06,1.8E+07,1.9E+07,1.0E+07,5.9E+06,4.8E+06,8.1E+06,9.8E+06,1.2E+07,9.1E+06
