feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,Astrocytes1,Astrocytes2,Astrocytes3,Microglia1,Microglia2,Microglia3,NeuronsDIV101,NeuronsDIV102,NeuronsDIV103,NeuronsDIV161,NeuronsDIV162,NeuronsDIV163,NeuronsDIV51,NeuronsDIV52,NeuronsDIV53,OligodendrocytesDIV11,OligodendrocytesDIV12,OligodendrocytesDIV13,OligodendrocytesDIV251,OligodendrocytesDIV252,OligodendrocytesDIV253,OligodendrocytesDIV41,OligodendrocytesDIV42,OligodendrocytesDIV43
DAG 16:0;0_20:3;0,DAG,GL,NA,36,3,0,,3.220560074,4.169360161,3.439310074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 16:0;0_20:4;0,DAG,GL,NA,36,4,0,,15.38910007,18.65259933,10.14570045,NA,NA,NA,1.83020997,1.685600042,2.830270052,1.495949984,NA,3.643189907,1.518519998,1.483139992,3.391649961,NA,NA,NA,NA,NA,NA,2.907690048,NA,1.036640048
DAG 16:0;0_22:4;0,DAG,GL,NA,38,4,0,,2.050090075,2.662610054,1.042709947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 16:0;0_22:6;0,DAG,GL,NA,38,6,0,,7.239210129,8.551099777,3.192780018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.183210015,NA,2.389090061,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 16:1;0_18:0;0,DAG,GL,NA,34,1,0,,0.683109999,0.93264699,0.213185996,NA,NA,NA,0.735328972,0.68621403,0.747573018,0.531829,0.449043006,1.010849953,0.272810012,0.262598008,0.775759995,NA,NA,NA,NA,NA,NA,0.971584022,NA,0.128730997
DAG 16:1;0_18:1;0,DAG,GL,NA,34,2,0,,3.159440041,3.059570074,1.445989966,NA,NA,NA,0.919939995,1.264960051,1.120110035,NA,NA,NA,0.366786003,NA,0.865329027,NA,0.51304698,0.366293013,0.477614999,0.850606978,0.249356002,3.455579996,0.54262501,0.714363992
DAG 16:1;0_20:4;0,DAG,GL,NA,36,5,0,,1.409180045,2.227740049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 17:0;0_18:0;0,DAG,GL,NA,35,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62519002,NA,1.035959959
DAG 18:0;0_18:1;0,DAG,GL,NA,36,1,0,,3.506570101,4.144639969,1.388710022,NA,NA,NA,2.983839989,2.72935009,3.219749928,2.846519947,2.633719921,4.644239902,1.923290014,1.966760039,3.542459965,NA,NA,NA,1.260579944,1.470829964,1.167750001,3.095089912,1.194790006,1.430670023
DAG 18:0;0_18:2;0,DAG,GL,NA,36,2,0,,0.470714986,0.480396003,0.186410993,0.194947004,0.169044003,0.182938993,0.294966996,0.535938978,0.28481999,NA,0.228348002,0.410932988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 18:0;0_18:3;0,DAG,GL,NA,36,3,0,,0.873962998,1.152400017,1.418670058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 18:0;0_20:3;0,DAG,GL,NA,38,3,0,,13.02770042,17.5802002,10.04759979,NA,NA,NA,1.637969971,NA,1.595810056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 18:0;0_20:4;0,DAG,GL,NA,38,4,0,,58.99480057,79.9253006,33.82830048,1.900020003,1.193699956,NA,14.49380016,13.3512001,21.52129936,10.7361002,10.00570011,22.49670029,11.65270042,11.11219978,23.36510086,1.283040047,2.862459898,2.995460033,2.719209909,4.801350117,2.021430016,18.86420059,3.276979923,4.746590137
DAG 18:0;0_22:4;0,DAG,GL,NA,40,4,0,,1.711470008,2.772490025,NA,NA,NA,NA,1.424280047,1.80182004,2.187210083,1.583119988,NA,2.331099987,0.988287985,NA,1.590160012,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 18:0;0_22:5;0,DAG,GL,NA,40,5,0,,2.827879906,3.521909952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.391579986,NA,0.82190001
DAG 18:0;0_22:6;0,DAG,GL,NA,40,6,0,,3.473180056,3.630120039,NA,NA,NA,NA,5.045979977,4.686329842,6.778590202,3.824909925,3.677330017,10.25450039,4.08781004,4.132150173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 18:1;0_18:1;0,DAG,GL,NA,36,2,0,,3.455699921,4.450920105,2.366950035,1.252920032,1.234269977,1.409819961,1.18840003,1.710759997,1.48901999,1.308990002,0.870491028,1.343369961,NA,NA,NA,NA,0.877839029,1.125769973,1.141039968,1.363150001,1.287780046,4.424320221,0.915329993,2.045550108
DAG 18:1;0_18:2;0,DAG,GL,NA,36,3,0,,0.456182986,0.569535017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 18:1;0_20:3;0,DAG,GL,NA,38,4,0,,1.892140031,2.237270117,1.556849957,NA,NA,NA,0.411963999,NA,0.543128014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 18:1;0_20:4;0,DAG,GL,NA,38,5,0,,14.93029976,20.05430031,8.973199844,NA,NA,NA,2.114850044,1.962569952,2.846120119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.404119968,NA,1.847849965
DAG 18:1;0_22:4;0,DAG,GL,NA,40,5,0,,1.163040042,1.504359961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 18:1;0_22:5;0,DAG,GL,NA,40,6,0,,2.106559992,2.388659954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HexCer 28:1;2,HexCer,SL,NA,28,1,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232106999,0.252400011,0.208293006,0.258340001,NA,0.601885974,0.230693996,0.323341995
HexCer 34:1;2,HexCer,SL,NA,34,1,2,,0.889874995,1.022909999,0.791216016,0.334592998,NA,0.502694011,NA,NA,NA,0.251578003,0.227449998,0.32912001,0.251426995,0.410957009,0.676660001,0.562869012,1.153679967,0.943723023,1.514649987,2.408560038,1.196320057,3.355890036,1.406170011,2.600280046
HexCer 35:1;3,HexCer,SL,NA,35,1,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405084997,NA,0.464067996
HexCer 36:1;2,HexCer,SL,NA,36,1,2,,1.497509956,1.713240027,NA,NA,NA,NA,1.58427,1.600649953,1.613399982,1.089980006,1.03994,2.73390007,1.108739972,1.071849942,1.854210019,3.26887989,7.828100204,8.12250042,13.37049961,17.10460091,11.57719994,47.43669891,20.71459961,33.95759964
HexCer 36:1;3,HexCer,SL,NA,36,1,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.159660101,4.41903019,4.579800129,6.056479931,7.946589947,5.501679897,23.40430069,11.39299965,16.87260056
HexCer 36:2;2,HexCer,SL,NA,36,2,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.507737994,NA,0.286523998
HexCer 38:1;2,HexCer,SL,NA,38,1,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209493995,0.423860013,0.421599001,0.532392979,0.770861983,0.511262,2.18076992,0.788815022,1.477519989
HexCer 38:1;3,HexCer,SL,NA,38,1,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383136004,0.764684975,0.954694986,0.967710972,1.24684,0.923582971,3.400490046,1.370499969,2.400880098
HexCer 39:1;3,HexCer,SL,NA,39,1,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.646468997,NA,0.467088997
HexCer 40:1;2,HexCer,SL,NA,40,1,2,,1.351060033,1.626230001,1.73029995,0.67454499,0.668974996,0.767929971,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.733137012,2.057709932,2.042860031,2.652770042,3.725519896,2.245120049,15.2748003,5.299240112,8.161319733
HexCer 40:2;2,HexCer,SL,NA,40,2,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.193089962,0.319252998,0.646869004
HexCer 41:1;2,HexCer,SL,NA,41,1,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347882003,0.362291008,0.421921015,0.85484302,0.543385983,3.641439915,1.575379968,2.190040112
HexCer 41:1;3,HexCer,SL,NA,41,1,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162297994,0.564108014,0.481548995,0.898957014,1.302160025,0.764362991,6.909359932,3.152159929,4.137139797
HexCer 41:2;2,HexCer,SL,NA,41,2,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.235640049,0.418915004,0.715072989
HexCer 42:0;3,HexCer,SL,NA,42,0,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473376989,NA,0.437721997
HexCer 42:1;2,HexCer,SL,NA,42,1,2,,0.855759025,1.070819974,1.494889975,0.803780019,0.749664009,0.774128973,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.111590028,3.699579954,3.375390053,5.539740086,8.435400009,4.397089958,32.26950073,13.37069988,18.36660004
HexCer 42:1;3,HexCer,SL,NA,42,1,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.992130041,5.544569969,6.220910072,8.064510345,11.81200027,7.024400234,49.71310043,21.68619919,33.58890152
HexCer 42:2;2,HexCer,SL,NA,42,2,2,,NA,NA,NA,0.691105008,0.80764699,0.819178998,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.282389998,3.881570101,3.752029896,3.957340002,6.949590206,3.63854003,28.32690048,11.56060028,17.00790024
HexCer 42:3;2,HexCer,SL,NA,42,3,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208422005,0.260805994,0.439567,0.292773992,0.389546007,0.297452003,0.713218987,NA,0.303364992
LPA 18:0;0,LPA,GPL,NA,18,0,0,,NA,NA,NA,NA,NA,NA,NA,0.308723003,0.349766999,0.406522989,0.312902004,0.464697003,0.274605006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPA 20:4;0,LPA,GPL,NA,20,4,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17577,0.072858199,0.344835013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPA 22:6;0,LPA,GPL,NA,22,6,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131302997,NA,0.355719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPC 14:0;0,LPC,GPL,NA,14,0,0,,0.744038999,1.051730037,NA,NA,NA,NA,0.645368993,0.602990985,NA,0.944256008,0.785503983,1.139529943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPC 15:0;0,LPC,GPL,NA,15,0,0,,0.666750014,1.571939945,NA,NA,NA,NA,NA,NA,NA,0.330435991,0.556589007,1.086120009,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.643721998,NA,0.48606801
LPC 16:0;0,LPC,GPL,NA,16,0,0,,41.36309814,51.2881012,21.79789925,5.000259876,5.680069923,9.233980179,8.427379608,7.859240055,8.995400429,15.85529995,14.80010033,32.45970154,4.23803997,3.855619907,7.089839935,2.444839954,5.247200012,7.674849987,7.691770077,9.059160233,5.495230198,18.26959991,7.233809948,13.60809994
LPC 16:1;0,LPC,GPL,NA,16,1,0,,4.034450054,4.120009899,1.289420009,0.532828987,0.541323006,0.54647702,0.889912009,1.177129984,1.062029958,1.028869987,0.855193973,1.824110031,0.885379016,NA,0.54866302,0.374832988,0.780813992,0.679741025,0.741514981,0.897503972,0.485058993,2.560570002,0.762516975,1.245820045
LPC 18:0;0,LPC,GPL,NA,18,0,0,,5.13711977,7.153079987,3.319099903,1.675979972,1.912170053,2.856960058,3.263259888,2.875449896,3.506390095,8.547869682,7.656270027,14.29240036,1.525050044,1.46152997,3.045360088,1.14636004,1.979079962,5.505219936,3.928159952,3.66937995,3.082560062,7.523069859,5.171450138,7.480130196
LPC 18:1;0,LPC,GPL,NA,18,1,0,,8.182929993,8.400679588,3.804589987,1.599419951,2.182889938,3.214550018,2.503499985,2.486769915,2.389420033,2.801019907,2.712610006,5.014239788,1.023499966,0.701209009,1.208850026,0.814678013,1.798949957,2.18249011,1.882859945,2.647190094,1.293750048,9.660329819,2.506330013,5.227109909
LPC 18:2;0,LPC,GPL,NA,18,2,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.624104023,NA,0.382167995
LPC 20:1;0,LPC,GPL,NA,20,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.906871974,NA,0.551814973
LPC 20:4;0,LPC,GPL,NA,20,4,0,,1.27354002,1.335909963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPC 22:0;0,LPC,GPL,NA,22,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45717001,0.741531014,0.971469998
LPC 22:5;0,LPC,GPL,NA,22,5,0,,0.828880012,0.768646002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPC O-16:0;0,LPC O-,GPL,NA,16,0,0,,1.048900008,1.473099947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPC O-16:1;0,LPC O-,GPL,NA,16,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.306003004,0.434067011,0.456458986,0.589208007,0.474126995,1.238649964,0.539554,0.935766995
LPC O-16:2;0,LPC O-,GPL,NA,16,2,0,,NA,NA,NA,NA,NA,NA,0.927030027,0.591701984,NA,NA,NA,NA,NA,NA,NA,1.742310047,0.983491004,1.052559972,1.305150032,1.827620029,1.121659994,8.194849968,2.614480019,6.732110023
LPC O-18:2;0,LPC O-,GPL,NA,18,2,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.638018012,0.370503992,0.454495013,0.52076298,0.669291019,0.408051014,2.005739927,0.760043979,1.482910037
LPE 16:0;0,LPE,GPL,NA,16,0,0,,2.115400076,2.424119949,0.723496974,0.164921999,0.208544999,0.132952005,1.266610026,1.170600057,1.548699975,0.654097021,0.572933972,1.260059953,0.417594999,0.309469998,0.547109008,0.092886798,0.155119002,0.193743005,0.191847995,0.276724994,0.254325002,0.535153985,0.187827006,0.403248012
LPE 16:1;0,LPE,GPL,NA,16,1,0,,0.252633989,0.268694997,NA,NA,NA,NA,0.118045002,0.098881401,0.126960993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPE 18:0;0,LPE,GPL,NA,18,0,0,,2.902849913,3.407140017,1.044049978,0.464055985,0.544842005,0.598993003,4.570059776,4.43035984,4.828660011,3.132400036,2.840549946,4.962619781,1.051059961,0.857416987,1.661190033,NA,0.330859989,0.423348993,0.418673992,0.69689101,0.543196976,1.646499991,0.60856998,1.160959959
LPE 18:1;0,LPE,GPL,NA,18,1,0,,1.744910002,1.907520056,0.852401018,0.187858999,0.25307101,0.288437009,0.796034992,0.733235002,0.819203973,0.311984003,0.284446001,0.610925019,0.166435003,0.156221002,0.270720989,0.126975,0.237948999,0.246069998,0.217037007,0.386815995,0.231382996,1.164790034,0.382759988,0.882604003
LPE 20:1;0,LPE,GPL,NA,20,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297858,0.091414601,0.179165006
LPE 20:3;0,LPE,GPL,NA,20,3,0,,0.372575015,0.404502004,NA,NA,NA,NA,NA,NA,0.132291004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
