Rej	ID	LipidMolec	LipidMolecGroup	ClassKey	SubClassKey	FAKey	FAGroupKey	CalcMass	BaseRt	MolFormula	MainIon	IonCnt	IsoCnt	PDBCnt	TotalSmpIDRate(%)	TotalGrade	OrgMeanArea[s1]	OrgMeanHeight[s1]	OrgMaxArea[s1]	OrgMaxHeight[s1]	OrgMedArea[s1]	OrgMedHeight[s1]	OrgAreaStd[s1]	OrgHeightStd[s1]	OrgAreaRsd(%)[s1]	OrgHeightRsd(%)[s1]	MeanArea[s1]	MeanHeight[s1]	MaxArea[s1]	MaxHeight[s1]	MedArea[s1]	MedHeight[s1]	MedSumArea[s1]	AreaStd[s1]	HeightStd[s1]	AreaRsd(%)[s1]	HeightRsd(%)[s1]	MeanConc[s1]	MaxConc[s1]	MedConc[s1]
false	2970	MGDG(43:11)	MGDG(43:11)	MGDG	Monogalactosyldiacylglycerol	(43:11)	(43:11)	862.5595	10.6458	C52 H78 O10	M-H	1	1	0	100.00	C	5.5121E3	7.8685E4	2.5591E4	2.7518E5	2.6931E3	5.6434E4	7.7424E3	7.5055E4	140.4606	95.3873	5.5121E3	7.8685E4	2.5591E4	2.7518E5	2.6931E3	5.6434E4	5.6434E4	7.7424E3	7.5055E4	140.46	95.39	NaN	NaN	NaN
false	2971	MGDG(43:11)	MGDG(43:11)	MGDG	Monogalactosyldiacylglycerol	(43:11)	(43:11)	862.5595	10.8349	C52 H78 O10	M-H	1	1	0	100.00	C	2.1638E4	1.9358E5	5.5045E4	4.6131E5	1.7525E4	1.5654E5	1.7237E4	1.4226E5	79.6641	73.4890	2.1638E4	1.9358E5	5.5045E4	4.6131E5	1.7525E4	1.5654E5	1.5654E5	1.7237E4	1.4226E5	79.66	73.49	NaN	NaN	NaN
false	2972	MGDG(43:11)	MGDG(43:11)	MGDG	Monogalactosyldiacylglycerol	(43:11)	(43:11)	862.5595	11.1322	C52 H78 O10	M-H	1	1	0	100.00	C	2.1141E4	1.7380E5	5.5055E4	4.1395E5	1.7068E4	1.5510E5	1.7189E4	1.3831E5	81.3070	79.5787	2.1141E4	1.7380E5	5.5055E4	4.1395E5	1.7068E4	1.5510E5	1.5510E5	1.7189E4	1.3831E5	81.31	79.58	NaN	NaN	NaN
false	2973	PG(47:13)	PG(47:13)	PG	diacyl	(47:13)	(47:13)	906.5411	12.8422	C53 H79 O10 P1	M-H	1	1	0	100.00	C	1.0134E3	3.8188E4	2.9879E3	8.9407E4	8.0263E2	3.8965E4	9.9289E2	2.8110E4	97.9783	73.6081	1.0134E3	3.8188E4	2.9879E3	8.9407E4	8.0263E2	3.8965E4	3.8965E4	9.9289E2	2.8110E4	97.98	73.61	NaN	NaN	NaN
false	2974	TG(41:4COOH)	TG(41:4COOH)	TG	carboxylic	(41:4COOH)	(41:4COOH)	730.5384	11.2799	C44 H74 O8	M-H	1	1	0	100.00	C	2.6400E4	4.8204E5	9.0353E4	1.5139E6	2.4190E4	3.2243E5	1.9287E4	3.9077E5	73.0582	81.0665	2.6400E4	4.8204E5	9.0353E4	1.5139E6	2.4190E4	3.2243E5	3.2243E5	1.9287E4	3.9077E5	73.06	81.07	NaN	NaN	NaN
false	2975	TG(41:4COOH)	TG(41:4COOH)	TG	carboxylic	(41:4COOH)	(41:4COOH)	730.5384	11.7528	C44 H74 O8	M-H	1	1	0	100.00	C	4.9367E4	7.0465E5	1.9451E5	3.8273E6	4.0563E4	3.5978E5	5.2581E4	1.0260E6	106.5111	145.6040	4.9367E4	7.0465E5	1.9451E5	3.8273E6	4.0563E4	3.5978E5	3.5978E5	5.2581E4	1.0260E6	106.51	145.60	NaN	NaN	NaN
false	2976	ST(d39:5)	ST(d39:5)	ST	Sulfoglycosphingolipids (sulfatides)	(d39:5)	(d39:5)	841.5374	9.8069	C45 H79 N1 O11 S1	M-H	1	1	0	100.00	C	3.7492E4	3.7784E5	7.3460E4	7.5015E5	5.9545E4	5.8556E5	3.2445E4	3.1623E5	86.5369	83.6929	3.7492E4	3.7784E5	7.3460E4	7.5015E5	5.9545E4	5.8556E5	5.8556E5	3.2445E4	3.1623E5	86.54	83.69	NaN	NaN	NaN
false	2978	CL(O-83:11)	CL(O-83:11)	CL	alkylacyl-diacyl	(O-83:11)	(O-83:11)	1583.1182	10.8763	C92 H160 O16 P2	M-H	1	1	0	100.00	C	2.4844E3	4.5507E4	1.6411E4	1.6535E5	2.1087E2	3.5111E4	4.3985E3	4.9046E4	177.0417	107.7749	2.4844E3	4.5507E4	1.6411E4	1.6535E5	2.1087E2	3.5111E4	3.5111E4	4.3985E3	4.9046E4	177.04	107.77	NaN	NaN	NaN
false	298	CL(83:0CHOCHO)	CL(83:0CHOCHO)	CL	3,4-aldehyde diacyl-diacyl	(83:0CHOCHO)	(83:0CHOCHO)	1647.2281	15.3663	C92 H176 O19 P2	M-2H	1	1	0	100.00	C	1.1064E4	7.1671E4	2.9711E4	1.7267E5	9.3966E3	7.3592E4	1.1413E4	6.2789E4	103.1576	87.6070	1.1064E4	7.1671E4	2.9711E4	1.7267E5	9.3966E3	7.3592E4	7.3592E4	1.1413E4	6.2789E4	103.16	87.61	NaN	NaN	NaN
false	2980	PG(O-40:5)	PG(O-40:5)	PG	alkyl-acyl	(O-40:5)	(O-40:5)	810.5775	12.7887	C46 H83 O9 P1	M-H	1	1	0	100.00	C	2.7507E4	1.8533E5	6.3107E4	4.3653E5	2.6750E4	1.9424E5	1.8549E4	1.2303E5	67.4324	66.3827	2.7507E4	1.8533E5	6.3107E4	4.3653E5	2.6750E4	1.9424E5	1.9424E5	1.8549E4	1.2303E5	67.43	66.38	NaN	NaN	NaN
