Compound,m.z,Retention.time..min.,Mode,Intensity,O4_0220,O2_0220,Y2_1219,O1+O5_1219,O3_0220,Y1_1219,Y3_0220,O2+O3_1219,Y5_0220,O1_0220,Y2_0220,O5_0220,Y4_0220,Y4_1219,O4_1219,Y1_0220,QC1,QC2,QC3,LipidIon,FattyAcid,Class,IonFormula,RT_LS,mz_LS,mscore,tscore
10.08_776.5454m/z,776.5454,10.08,Accucore_C18_neg,8.0E+07,7.3E+07,1.0E+08,8.8E+07,6.3E+07,8.2E+07,7.5E+07,5.6E+07,5.1E+07,7.8E+07,1.0E+08,1.1E+08,5.9E+07,1.0E+08,9.1E+07,5.1E+07,9.6E+07,6.7E+07,6.7E+07,6.5E+07,PC(16:0/16:1)+HCOO| PS(14:0/21:0)-H,(16:0/16:1)| (14:0/21:0),PC| PS,C41 H79 O10 N1 P1| C41 H79 O10 N1 P1,10.2227862685904| 10.051,776.54471053| 776.54471053,29.5160973029972| 3.3299475793892,0.392677120655334| 3.92931625371986
10.12_754.5386m/z,754.5386,10.12,Accucore_C18_pos,2.3E+07,2.5E+07,2.0E+07,2.5E+07,2.5E+07,2.4E+07,1.9E+07,2.5E+07,2.2E+07,2.1E+07,2.3E+07,2.2E+07,2.4E+07,2.3E+07,2.1E+07,2.6E+07,2.3E+07,8.5E+06,8.3E+06,8.7E+06,PC(16:0/16:1)+Na| PC(16:1/18:3)+H,(16:0/16:1)| (16:1/18:3),PC| PC,C40 H78 O8 N1 P1 Na1| C42 H77 O8 N1 P1,10.2227862685904| 10.168,754.53572847| 754.53813347,36.028837533996| 20.4321602083261,0.256016634545134| 2.0147299671041
12.98_748.5875m/z,748.5875,12.98,Accucore_C18_pos,1.1E+08,8.6E+07,1.4E+08,1.0E+08,8.4E+07,1.2E+08,1.2E+08,6.0E+07,6.8E+07,1.0E+08,1.3E+08,1.5E+08,7.5E+07,1.4E+08,1.1E+08,5.9E+07,1.4E+08,8.8E+07,8.6E+07,8.9E+07,PC(16:0/17:0)+H,(16:0/17:0),PC,C41 H83 O8 N1 P1,12.97116858,748.5850835,19.88298959,1.035180997
12.44_748.5883m/z,748.5883,12.44,Accucore_C18_pos,3.2E+07,1.7E+07,3.5E+07,4.4E+07,2.4E+07,3.3E+07,4.0E+07,1.4E+07,2.1E+07,2.4E+07,3.1E+07,5.7E+07,1.7E+07,4.0E+07,4.6E+07,1.6E+07,3.7E+07,2.5E+07,2.4E+07,2.6E+07,PC(16:0/17:0)+H,(16:0/17:0),PC,C41 H83 O8 N1 P1,12.44020552,748.5850835,19.88298959,0.450052664
12.37_792.5774m/z,792.5774,12.37,Accucore_C18_neg,2.4E+06,1.6E+06,2.4E+06,3.5E+06,2.3E+06,2.5E+06,3.0E+06,1.4E+06,2.1E+06,2.1E+06,2.3E+06,3.9E+06,1.7E+06,3.0E+06,3.7E+06,1.8E+06,2.7E+06,2.3E+06,2.3E+06,2.2E+06,PC(16:0/17:0)+HCOO,(16:0/17:0),PC,C42 H83 O10 N1 P1,12.44020552,792.5760105,27.49114859,0.862525988
11.69_818.5927m/z,818.5927,11.69,Accucore_C18_neg,2.6E+06,2.3E+06,3.2E+06,2.7E+06,2.1E+06,3.1E+06,2.5E+06,1.8E+06,1.9E+06,2.5E+06,3.2E+06,3.5E+06,2.0E+06,3.1E+06,3.0E+06,1.8E+06,3.1E+06,2.3E+06,2.1E+06,2.0E+06,PC(16:0/18:1)+CH3COO| PC(17:0/18:1)+HCOO,(16:0/18:1)| (17:0/18:1),PC| PC,C44 H85 O10 N1 P1| C44 H85 O10 N1 P1,11.7415291354336| 11.738,818.59166053| 818.59166053,27.8849441278948| 21.9335500817802,0.331024397963387| 0.0410873437142171
11.77_760.5862m/z,760.5862,11.77,Accucore_C18_pos,3.1E+09,2.7E+09,3.8E+09,3.1E+09,2.5E+09,3.4E+09,3.0E+09,2.2E+09,2.2E+09,2.8E+09,3.7E+09,3.8E+09,2.3E+09,3.6E+09,3.2E+09,2.1E+09,3.6E+09,1.8E+09,1.8E+09,1.8E+09,PC(16:0/18:1)+H,(16:0/18:1),PC,C42 H83 O8 N1 P1,11.74152914,760.5850835,19.88298959,0.204270051
11.69_804.5767m/z,804.5767,11.69,Accucore_C18_neg,2.2E+08,2.0E+08,2.8E+08,2.3E+08,1.9E+08,2.6E+08,2.1E+08,1.6E+08,1.6E+08,2.1E+08,2.6E+08,2.8E+08,1.7E+08,2.7E+08,2.4E+08,1.5E+08,2.5E+08,1.8E+08,1.7E+08,1.7E+08,PC(16:0/18:1)+HCOO| PS(16:0/21:0)-H,(16:0/18:1)| (16:0/21:0),PC| PS,C43 H83 O10 N1 P1| C43 H83 O10 N1 P1,11.7415291354336| 11.675,804.57601053| 804.57601053,29.5160973029972| 3.47605708320369,0.384726064630053| 3.32796695228755
15.38_758.5726m/z,758.5726,15.38,Accucore_C18_pos,1.0E+04,8.6E+03,2.0E+04,7.7E+03,6.6E+03,1.2E+04,9.9E+03,6.7E+03,5.4E+03,1.0E+04,1.8E+04,1.3E+04,6.8E+03,1.3E+04,1.0E+04,4.3E+03,2.1E+04,3.4E+03,5.5E+03,7.3E+03,PC(16:0/18:2)+H,(16:0/18:2),PC,C42 H81 O8 N1 P1,15.169,758.5694335,12.20067712,4.63420215
15.14_758.5709m/z,758.5709,15.14,Accucore_C18_pos,8.6E+03,6.2E+03,1.7E+04,7.9E+03,5.8E+03,9.6E+03,6.0E+03,5.6E+03,5.2E+03,9.3E+03,1.5E+04,1.5E+04,5.9E+03,1.3E+04,9.7E+03,4.5E+03,1.6E+04,1.0E+03,1.8E+03,3.5E+04,PC(16:0/18:2)+H,(16:0/18:2),PC,C42 H81 O8 N1 P1,15.169,758.5694335,12.20067712,4.63420215
15.32_758.5712m/z,758.5712,15.32,Accucore_C18_pos,4.9E+03,3.8E+03,1.4E+04,3.1E+03,3.5E+03,8.1E+03,4.8E+03,3.7E+03,3.0E+03,5.0E+03,8.9E+03,1.0E+04,4.5E+03,7.2E+03,6.3E+03,3.0E+03,8.9E+03,9.7E+02,2.0E+03,3.8E+03,PC(16:0/18:2)+H,(16:0/18:2),PC,C42 H81 O8 N1 P1,15.169,758.5694335,12.20067712,4.63420215
14.02_788.6191m/z,788.6191,14.02,Accucore_C18_pos,7.9E+07,7.5E+07,1.4E+08,7.9E+07,5.2E+07,9.7E+07,8.0E+07,4.6E+07,4.1E+07,7.8E+07,1.4E+08,1.5E+08,5.0E+07,1.2E+08,8.2E+07,4.1E+07,1.5E+08,8.0E+07,8.1E+07,8.1E+07,PC(16:0/20:1)+H,(16:0/20:1),PC,C44 H87 O8 N1 P1,13.98269306,788.6163835,16.46863512,0.373144297
13.89_832.6091m/z,832.6091,13.89,Accucore_C18_neg,9.5E+06,9.4E+06,1.3E+07,9.7E+06,7.6E+06,1.0E+07,9.4E+06,6.8E+06,6.5E+06,9.7E+06,1.2E+07,1.2E+07,7.1E+06,1.1E+07,9.3E+06,6.5E+06,1.2E+07,8.0E+06,7.9E+06,7.8E+06,PC(16:0/20:1)+HCOO| PS(16:0/23:0)-H,(16:0/20:1)| (16:0/23:0),PC| PS,C45 H87 O10 N1 P1| C45 H87 O10 N1 P1,13.9826930590834| 13.8859559526733,832.60731053| 832.60731053,24.2987124171188| 3.84385417515385,0.146036996884065| 5.145549950017
14.02_810.6009m/z,810.6009,14.02,Accucore_C18_pos,1.6E+07,1.5E+07,2.8E+07,1.6E+07,1.0E+07,2.1E+07,1.6E+07,8.7E+06,7.6E+06,1.6E+07,2.8E+07,3.0E+07,9.8E+06,2.4E+07,1.7E+07,7.6E+06,2.9E+07,1.4E+07,1.4E+07,1.4E+07,PC(16:0/20:1)+Na| PC(18:0/20:4)+H,(16:0/20:1)| (18:0/20:4),PC| PC,C44 H86 O8 N1 P1 Na1| C46 H85 O8 N1 P1,13.9826930590834| 14.0009202658172,810.59832847| 810.60073347,40.0999999999999| 12.5942027265428,0.0796261723447205| 2.45010988559007
11.30_828.5774m/z,828.5774,11.30,Accucore_C18_neg,7.5E+06,6.7E+06,1.1E+07,9.6E+06,5.4E+06,8.0E+06,6.7E+06,5.5E+06,3.7E+06,7.0E+06,1.0E+07,1.5E+07,5.6E+06,1.0E+07,8.5E+06,4.1E+06,1.0E+07,6.5E+06,6.6E+06,6.5E+06,PC(16:0/20:3)+HCOO,(16:0/20:3),PC,C45 H83 O10 N1 P1,11.4016432,828.5760105,36.07523004,0.466413115
10.72_828.5771m/z,828.5771,10.72,Accucore_C18_neg,3.8E+06,3.9E+06,5.2E+06,4.3E+06,3.3E+06,3.8E+06,3.7E+06,2.8E+06,3.0E+06,3.5E+06,4.5E+06,5.1E+06,3.0E+06,4.7E+06,3.7E+06,2.8E+06,4.5E+06,3.1E+06,3.2E+06,3.0E+06,PC(16:0/20:3)+HCOO,(16:0/20:3),PC,C45 H83 O10 N1 P1,10.79887168,828.5760105,25.32979909,0.18978279
11.40_806.5698m/z,806.5698,11.40,Accucore_C18_pos,1.2E+07,1.3E+07,1.5E+07,1.4E+07,1.0E+07,1.4E+07,1.0E+07,1.1E+07,7.4E+06,1.2E+07,1.6E+07,1.7E+07,1.1E+07,1.5E+07,1.2E+07,8.6E+06,1.5E+07,5.6E+06,5.5E+06,5.1E+06,PC(16:0/20:3)+Na| PC(16:0/22:6)+H,(16:0/20:3)| (16:0/22:6),PC| PC,C44 H82 O8 N1 P1 Na1| C46 H81 O8 N1 P1,11.4016431993713| 11.4144705695708,806.56702847| 806.56943347,19.8291461733097| 29.6890090731438,0.489905629445596| 2.01911865292324
10.10_782.5709m/z,782.5709,10.10,Accucore_C18_pos,4.4E+08,3.9E+08,5.3E+08,4.9E+08,4.0E+08,4.1E+08,5.0E+08,3.2E+08,4.0E+08,4.3E+08,4.9E+08,5.5E+08,3.6E+08,5.1E+08,4.6E+08,3.6E+08,4.9E+08,2.9E+08,2.9E+08,2.9E+08,PC(16:0/20:4)+H,(16:0/20:4),PC,C44 H81 O8 N1 P1,10.1031927,782.5694335,19.88298959,0.172733045
10.02_826.5601m/z,826.5601,10.02,Accucore_C18_neg,2.6E+07,2.3E+07,3.4E+07,2.9E+07,2.2E+07,2.3E+07,2.9E+07,1.8E+07,2.2E+07,2.8E+07,2.7E+07,3.2E+07,2.1E+07,2.7E+07,2.8E+07,1.9E+07,2.6E+07,2.1E+07,2.1E+07,2.1E+07,PC(16:0/20:4)+HCOO| PC(16:0/20:4)+HCOO| PS(19:0/20:3)-H,(16:0/20:4)| (16:0/20:4)| (19:0/20:3),PC| PC| PS,C45 H81 O10 N1 P1| C45 H81 O10 N1 P1| C45 H81 O10 N1 P1,9.7753202800098| 10.1031926961535| 10.071,826.560360529999| 826.560360529999| 826.560360529999,29.5160973029972| 44.2741459544958| 4.42729682366103,0.202367641548672| 0.352023078868661| 4.02478484231335
9.20_780.5560m/z,780.5560,9.20,Accucore_C18_pos,3.3E+07,3.3E+07,6.3E+07,3.2E+07,2.4E+07,3.1E+07,3.6E+07,1.9E+07,2.3E+07,3.5E+07,5.3E+07,4.8E+07,2.4E+07,4.3E+07,2.8E+07,2.0E+07,4.8E+07,3.4E+07,3.1E+07,3.3E+07,PC(16:0/20:5)+H,(16:0/20:5),PC,C44 H79 O8 N1 P1,9.211260637,780.5537835,19.88298959,0.302609657
9.20_802.5379m/z,802.5379,9.20,Accucore_C18_pos,3.8E+06,4.4E+06,5.2E+06,3.8E+06,3.5E+06,4.0E+06,3.8E+06,2.7E+06,3.2E+06,3.7E+06,5.2E+06,4.1E+06,3.4E+06,4.3E+06,3.1E+06,3.1E+06,4.5E+06,2.2E+06,1.9E+06,1.9E+06,PC(16:0/20:5)+Na| PC(18:4/20:4)+H,(16:0/20:5)| (18:4/20:4),PC| PC,C44 H78 O8 N1 P1 Na1| C46 H77 O8 N1 P1,9.21126063677289| 9.247,802.53572847| 802.53813347,20.3950989321292| 11.9470808963887,0.276731656759599| 1.45000869785233
16.26_816.6504m/z,816.6504,16.26,Accucore_C18_pos,1.1E+06,9.1E+05,1.4E+06,1.1E+06,7.0E+05,1.1E+06,1.2E+06,6.0E+05,6.1E+05,1.1E+06,1.3E+06,1.6E+06,5.7E+05,1.2E+06,1.0E+06,6.4E+05,1.6E+06,8.1E+05,7.7E+05,6.7E+05,PC(16:0/22:1)+H,(16:0/22:1),PC,C46 H91 O8 N1 P1,16.28294436,816.6476835,17.98434154,0.585627937
12.75_812.6187m/z,812.6187,12.75,Accucore_C18_pos,1.5E+07,1.2E+07,2.4E+07,1.6E+07,9.5E+06,1.7E+07,1.5E+07,7.9E+06,6.7E+06,1.4E+07,2.3E+07,3.1E+07,9.0E+06,2.1E+07,1.6E+07,7.1E+06,2.4E+07,1.1E+07,1.1E+07,1.1E+07,PC(16:0/22:3)+H,(16:0/22:3),PC,C46 H87 O8 N1 P1,12.73105419,812.6163835,19.88298959,0.464289907
12.63_856.6086m/z,856.6086,12.63,Accucore_C18_neg,9.0E+05,8.4E+05,1.2E+06,1.0E+06,7.1E+05,9.1E+05,8.9E+05,6.0E+05,5.4E+05,8.3E+05,1.1E+06,1.4E+06,6.3E+05,1.1E+06,9.5E+05,5.7E+05,1.1E+06,7.4E+05,7.5E+05,7.2E+05,PC(16:0/22:3)+HCOO,(16:0/22:3),PC,C47 H87 O10 N1 P1,12.73105419,856.6073105,15.48787846,0.071062009
12.73_834.6005m/z,834.6005,12.73,Accucore_C18_pos,2.8E+06,2.5E+06,3.4E+06,3.3E+06,2.1E+06,2.4E+06,2.9E+06,2.2E+06,1.8E+06,3.1E+06,3.1E+06,3.7E+06,2.3E+06,2.7E+06,2.9E+06,2.0E+06,3.0E+06,1.4E+06,1.3E+06,1.3E+06,PC(16:0/22:3)+Na| PC(18:0/22:6)+H,(16:0/22:3)| (18:0/22:6),PC| PC,C46 H86 O8 N1 P1 Na1| C48 H85 O8 N1 P1,12.7310541925089| 12.7052868314252,834.59832847| 834.60073347,18.1549821657253| 11.9595444059706,0.523312574150619| 1.78184043837709
10.62_852.5765m/z,852.5765,10.62,Accucore_C18_neg,1.9E+06,1.8E+06,2.6E+06,2.3E+06,1.8E+06,1.8E+06,2.0E+06,1.3E+06,1.6E+06,1.9E+06,2.3E+06,2.7E+06,1.6E+06,2.4E+06,2.2E+06,1.5E+06,2.3E+06,1.7E+06,1.7E+06,1.6E+06,PC(16:0/22:5)+HCOO,(16:0/22:5),PC,C47 H83 O10 N1 P1,10.71252608,852.5760105,23.18857602,0.40540136
9.62_850.5610m/z,850.5610,9.62,Accucore_C18_neg,7.2E+06,5.9E+06,8.7E+06,8.7E+06,7.2E+06,6.8E+06,8.3E+06,5.1E+06,7.2E+06,7.2E+06,6.9E+06,7.7E+06,5.9E+06,8.5E+06,8.3E+06,5.9E+06,6.4E+06,5.9E+06,5.9E+06,5.8E+06,PC(16:0/22:6)+HCOO,(16:0/22:6),PC,C47 H81 O10 N1 P1,9.702758819,850.5603605,39.86243325,0.320756178
15.89_842.6656m/z,842.6656,15.89,Accucore_C18_pos,2.1E+06,1.8E+06,2.8E+06,2.2E+06,1.3E+06,2.1E+06,2.3E+06,1.2E+06,1.2E+06,2.2E+06,2.6E+06,3.3E+06,1.1E+06,2.7E+06,2.0E+06,1.1E+06,3.2E+06,1.9E+06,1.8E+06,1.8E+06,PC(16:0/24:2)+H,(16:0/24:2),PC,C48 H93 O8 N1 P1,15.93401915,842.6633335,19.88298959,0.871987281
11.26_692.5615m/z,692.5615,11.26,Accucore_C18_pos,1.4E+07,1.1E+07,1.9E+07,1.6E+07,1.1E+07,1.4E+07,1.6E+07,7.8E+06,9.6E+06,1.3E+07,1.5E+07,2.0E+07,8.2E+06,1.6E+07,1.7E+07,7.9E+06,1.8E+07,9.2E+06,9.4E+06,8.8E+06,PC(16:0e/14:0)+H,(16:0e/14:0),PC,C38 H79 O7 N1 P1,11.26142866,692.5588685,19.88298959,0.74164112
12.26_706.5772m/z,706.5772,12.26,Accucore_C18_pos,4.1E+07,2.8E+07,5.3E+07,4.6E+07,3.1E+07,3.8E+07,4.6E+07,2.2E+07,2.7E+07,3.7E+07,4.3E+07,6.1E+07,2.6E+07,4.5E+07,4.6E+07,2.2E+07,5.0E+07,3.0E+07,2.9E+07,3.0E+07,PC(16:0e/15:0)+H,(16:0e/15:0),PC,C39 H81 O7 N1 P1,12.25564916,706.5745185,19.88298959,1.05375209
13.42_720.5928m/z,720.5928,13.42,Accucore_C18_pos,7.3E+07,7.6E+07,1.4E+08,7.0E+07,4.1E+07,8.3E+07,6.2E+07,4.5E+07,3.3E+07,7.8E+07,1.2E+08,1.4E+08,4.9E+07,1.0E+08,6.6E+07,3.4E+07,1.3E+08,6.4E+07,6.5E+07,6.6E+07,PC(16:0e/16:0)+H,(16:0e/16:0),PC,C40 H83 O7 N1 P1,13.40921708,720.5901685,19.88298959,1.037930826
11.31_718.5775m/z,718.5775,11.31,Accucore_C18_pos,5.4E+07,5.1E+07,9.5E+07,5.4E+07,3.4E+07,6.0E+07,5.1E+07,3.4E+07,2.8E+07,5.6E+07,8.2E+07,9.1E+07,3.5E+07,6.9E+07,5.5E+07,2.6E+07,8.6E+07,4.5E+07,4.5E+07,4.4E+07,PC(16:0e/16:1)+H,(16:0e/16:1),PC,C40 H81 O7 N1 P1,11.39718644,718.5745185,19.88298959,0.373378772
11.22_762.5682m/z,762.5682,11.22,Accucore_C18_neg,2.6E+06,2.6E+06,4.0E+06,2.6E+06,1.9E+06,2.8E+06,2.4E+06,1.8E+06,1.7E+06,2.6E+06,3.7E+06,3.9E+06,2.0E+06,3.2E+06,2.8E+06,1.6E+06,3.7E+06,2.4E+06,2.3E+06,2.3E+06,PC(16:0e/16:1)+HCOO,(16:0e/16:1),PC,C41 H81 O9 N1 P1,11.39718644,762.5654455,18.97398794,0.489129448
15.32_746.6079m/z,746.6079,15.32,Accucore_C18_pos,1.0E+06,1.1E+06,2.0E+06,8.7E+05,6.6E+05,1.2E+06,9.5E+05,6.6E+05,5.4E+05,1.1E+06,2.1E+06,1.9E+06,7.1E+05,1.4E+06,9.7E+05,5.5E+05,2.1E+06,7.4E+05,7.0E+05,7.3E+05,PC(16:0e/18:1)+H,(16:0e/18:1),PC,C42 H85 O7 N1 P1,15.31432864,746.6058185,15.68411664,2.033190426
16.57_746.6086m/z,746.6086,16.57,Accucore_C18_pos,1.7E+05,1.8E+05,3.4E+05,1.7E+05,1.1E+05,2.4E+05,1.7E+05,1.2E+05,7.5E+04,1.9E+05,3.3E+05,3.0E+05,1.2E+05,2.1E+05,1.5E+05,7.4E+04,3.4E+05,8.7E+04,7.9E+04,7.2E+04,PC(16:0e/18:1)+H,(16:0e/18:1),PC,C42 H85 O7 N1 P1,16.56841837,746.6058185,4.628947903,3.384137022
12.83_744.5932m/z,744.5932,12.83,Accucore_C18_pos,1.7E+07,1.7E+07,2.9E+07,1.6E+07,1.2E+07,1.9E+07,1.7E+07,1.0E+07,9.6E+06,1.7E+07,2.8E+07,2.3E+07,1.1E+07,2.3E+07,1.8E+07,8.6E+06,2.7E+07,1.2E+07,1.2E+07,1.2E+07,PC(16:0e/18:2)+H,(16:0e/18:2),PC,C42 H83 O7 N1 P1,12.84166319,744.5901685,19.88298959,1.242569552
11.20_768.5920m/z,768.5920,11.20,Accucore_C18_pos,2.4E+07,2.2E+07,3.9E+07,2.4E+07,1.8E+07,2.4E+07,2.6E+07,1.5E+07,1.9E+07,2.5E+07,3.3E+07,3.2E+07,1.7E+07,2.8E+07,2.3E+07,1.4E+07,3.4E+07,1.4E+07,1.5E+07,1.7E+07,PC(16:0e/20:4)+H,(16:0e/20:4),PC,C44 H83 O7 N1 P1,11.19736192,768.5901685,16.92874453,0.281226105
11.16_794.6076m/z,794.6076,11.16,Accucore_C18_pos,3.3E+07,3.7E+07,5.8E+07,2.9E+07,2.7E+07,3.5E+07,3.4E+07,2.2E+07,2.5E+07,3.3E+07,5.3E+07,4.1E+07,2.7E+07,3.6E+07,2.8E+07,2.4E+07,4.8E+07,2.1E+07,2.1E+07,2.0E+07,PC(16:0e/22:5)+H,(16:0e/22:5),PC,C46 H85 O7 N1 P1,11.17207099,794.6058185,19.88298959,0.421516114
10.95_838.5997m/z,838.5997,10.95,Accucore_C18_neg,1.4E+06,1.7E+06,2.5E+06,1.3E+06,1.2E+06,1.4E+06,1.5E+06,1.0E+06,1.2E+06,1.5E+06,2.2E+06,1.8E+06,1.3E+06,1.5E+06,1.2E+06,1.2E+06,1.9E+06,1.1E+06,1.1E+06,1.1E+06,PC(16:0e/22:5)+HCOO,(16:0e/22:5),PC,C47 H85 O9 N1 P1,11.17207099,838.5967455,14.50536521,0.062422799
10.66_792.5914m/z,792.5914,10.66,Accucore_C18_pos,3.6E+07,3.4E+07,6.0E+07,3.6E+07,2.8E+07,3.6E+07,4.1E+07,2.5E+07,2.9E+07,3.9E+07,5.4E+07,4.8E+07,2.7E+07,4.5E+07,3.5E+07,2.1E+07,5.1E+07,3.0E+07,3.2E+07,3.1E+07,PC(16:0e/22:6)+H,(16:0e/22:6),PC,C46 H83 O7 N1 P1,10.67613803,792.5901685,19.88298959,0.17868612
12.68_792.5914m/z,792.5914,12.68,Accucore_C18_pos,2.4E+06,2.5E+06,3.9E+06,2.4E+06,1.9E+06,2.4E+06,2.4E+06,1.7E+06,1.6E+06,2.6E+06,3.7E+06,3.0E+06,1.9E+06,2.5E+06,2.2E+06,1.6E+06,3.5E+06,2.0E+06,2.0E+06,1.7E+06,PC(16:0e/22:6)+H,(16:0e/22:6),PC,C46 H83 O7 N1 P1,12.712,792.5901685,10.85233977,2.269540631
10.59_836.5829m/z,836.5829,10.59,Accucore_C18_neg,1.7E+06,1.6E+06,2.7E+06,1.8E+06,1.5E+06,1.6E+06,2.0E+06,1.3E+06,1.6E+06,1.9E+06,2.1E+06,1.9E+06,1.4E+06,1.8E+06,1.7E+06,1.2E+06,2.0E+06,1.5E+06,1.4E+06,1.4E+06,PC(16:0e/22:6)+HCOO,(16:0e/22:6),PC,C47 H83 O9 N1 P1,10.67613803,836.5810955,9.473607584,0.292806613
7.67_676.4932m/z,676.4932,7.67,Accucore_C18_pos,2.6E+04,2.5E+04,4.6E+04,2.2E+04,1.6E+04,2.9E+04,2.1E+04,2.0E+04,1.2E+04,3.1E+04,4.4E+04,3.0E+04,2.0E+04,4.0E+04,2.7E+04,1.2E+04,4.1E+04,2.4E+04,2.2E+04,2.1E+04,PC(16:1/12:0)+H,(16:1/12:0),PC,C36 H71 O8 N1 P1,7.735189799,676.4911835,4.08708027,0.432993967
7.75_676.4928m/z,676.4928,7.75,Accucore_C18_pos,1.0E+04,8.8E+03,1.9E+04,1.0E+04,6.6E+03,9.8E+03,9.8E+03,6.6E+03,5.9E+03,1.1E+04,1.6E+04,1.0E+04,6.1E+03,1.6E+04,1.1E+04,5.7E+03,1.5E+04,8.1E+03,7.1E+03,7.8E+03,PC(16:1/12:0)+H,(16:1/12:0),PC,C36 H71 O8 N1 P1,7.735189799,676.4911835,4.08708027,0.432993967
7.80_676.4931m/z,676.4931,7.80,Accucore_C18_pos,5.4E+03,3.9E+03,9.2E+03,5.4E+03,2.1E+03,5.5E+03,5.8E+03,4.5E+03,2.4E+03,5.8E+03,8.5E+03,5.0E+03,2.8E+03,7.6E+03,7.1E+03,2.8E+03,7.3E+03,5.0E+03,2.8E+03,3.5E+03,PC(16:1/12:0)+H,(16:1/12:0),PC,C36 H71 O8 N1 P1,7.735189799,676.4911835,4.08708027,0.432993967
8.63_690.5085m/z,690.5085,8.63,Accucore_C18_pos,6.5E+06,3.4E+06,8.8E+06,1.2E+07,6.6E+06,6.5E+06,1.2E+07,4.1E+06,5.1E+06,6.4E+06,6.1E+06,8.6E+06,3.6E+06,9.7E+06,1.5E+07,5.3E+06,8.2E+06,4.9E+06,5.0E+06,5.0E+06,PC(16:1/13:0)+H,(16:1/13:0),PC,C37 H73 O8 N1 P1,8.63915763,690.5068335,19.88298959,0.733189552
8.70_704.5245m/z,704.5245,8.70,Accucore_C18_pos,1.0E+08,7.5E+07,1.5E+08,1.2E+08,6.7E+07,9.7E+07,1.1E+08,5.3E+07,4.8E+07,9.1E+07,1.4E+08,1.3E+08,5.0E+07,1.4E+08,1.3E+08,5.1E+07,1.4E+08,7.7E+07,7.6E+07,7.8E+07,PC(16:1/14:0)+H,(16:1/14:0),PC,C38 H75 O8 N1 P1,8.710434272,704.5224835,19.88298959,0.30626599
8.71_748.5146m/z,748.5146,8.71,Accucore_C18_neg,1.9E+06,1.8E+06,2.8E+06,2.5E+06,1.7E+06,1.9E+06,2.1E+06,1.4E+06,1.3E+06,1.9E+06,2.2E+06,1.9E+06,1.3E+06,2.3E+06,2.3E+06,1.4E+06,2.3E+06,1.4E+06,1.6E+06,1.4E+06,PC(16:1/14:0)+HCOO| PS(19:0/14:0)-H,(16:1/14:0)| (19:0/14:0),PC| PS,C39 H75 O10 N1 P1| C39 H75 O10 N1 P1,8.710434272225| 8.678,748.51341053| 748.513410529999,26.7926813832841| 4.98189996648538,0.559109302874025| 2.88587792172722
8.72_726.5070m/z,726.5070,8.72,Accucore_C18_pos,7.8E+06,6.5E+06,8.8E+06,9.2E+06,6.5E+06,7.8E+06,7.8E+06,5.3E+06,4.8E+06,6.8E+06,8.7E+06,7.8E+06,5.0E+06,9.3E+06,9.3E+06,5.7E+06,9.0E+06,3.7E+06,3.7E+06,3.7E+06,PC(16:1/14:0)+Na,(16:1/14:0),PC,C38 H74 O8 N1 P1 Na1,8.710434272,726.5044285,34.44056356,0.367012323
8.82_752.5220m/z,752.5220,8.82,Accucore_C18_pos,2.5E+07,2.6E+07,3.1E+07,2.4E+07,1.9E+07,2.8E+07,2.0E+07,2.0E+07,1.4E+07,2.5E+07,3.5E+07,3.2E+07,2.0E+07,3.3E+07,2.5E+07,1.5E+07,3.5E+07,1.4E+07,1.4E+07,1.5E+07,PC(16:1/16:1)+Na,(16:1/16:1),PC,C40 H76 O8 N1 P1 Na1,8.846493905,752.5200785,52.58252479,0.052358875
10.06_802.5612m/z,802.5612,10.06,Accucore_C18_neg,2.9E+07,2.9E+07,4.4E+07,2.3E+07,1.9E+07,3.4E+07,2.4E+07,2.1E+07,1.7E+07,3.1E+07,4.6E+07,4.0E+07,2.4E+07,3.9E+07,2.9E+07,1.7E+07,4.2E+07,2.6E+07,2.5E+07,2.4E+07,PC(16:1/18:1)+HCOO| PC(16:0/18:2)+HCOO,(16:1/18:1)| (16:0/18:2),PC| PC,C43 H81 O10 N1 P1| C43 H81 O10 N1 P1,10.1440064537533| 10.1934116124679,802.560360529999| 802.560360529999,29.5160973029972| 22.8538619336739,0.336606417857288| 0.0904972353833105
10.08_780.5540m/z,780.5540,10.08,Accucore_C18_pos,3.9E+07,4.5E+07,3.8E+07,3.6E+07,4.0E+07,4.4E+07,3.3E+07,4.1E+07,3.7E+07,3.8E+07,4.4E+07,3.7E+07,4.3E+07,3.9E+07,3.3E+07,4.0E+07,4.2E+07,1.5E+07,1.5E+07,1.4E+07,PC(16:1/18:1)+Na| PC(16:0/18:2)+Na| PC(16:1/20:4)+H,(16:1/18:1)| (16:0/18:2)| (16:1/20:4),PC| PC| PC,C42 H80 O8 N1 P1 Na1| C42 H80 O8 N1 P1 Na1| C44 H79 O8 N1 P1,10.1440064537533| 10.1934116124679| 10.0538740449898,780.55137847| 780.55137847| 780.55378347,37.1593747469197| 26.9858133767682| 22.6767697051365,0.41295521332786| 0.184469353579106| 1.33786299489213
