blank1,XY.1,XY.2,XY.3,XY.4,XY.5,XY.6,XY.7,XY.8,XY.9,XY.10,XY.11,XY.12,Compound,m.z,Retention.time..min.,LipidIon,Class,IonFormula,RT_LS,mz_LS,mscore,Grade,FattyAcid,MeanIntensity,Mode
140265.0145,197112.7981,281513.7417,150475.3085,306648.4863,176621.825,180439.1634,172953.2784,242511.646,183736.9638,259811.881,160558.8943,172534.3988,0.99_285.0938m/z,285.0937915,0.990783333,0,0,0,0,0,0,0,0,207076.5321,pos
0,211416.8479,102871.8453,0,235067.541,249630.8302,224888.3744,248079.6428,287168.1611,390206.9128,340075.7926,351026.976,339800.5197,0.99_365.3155m/z,365.3154789,0.990783333,0,0,0,0,0,0,0,0,248352.787,pos
420.5748978,0,1488.646429,1190.992187,14313.95227,0,20324.23685,0,234752.3543,0,0,2494.642517,0,0.99_270.3149m/z,270.3149167,0.990783333,0,0,0,0,0,0,0,0,22880.40205,pos
0,43807.20923,88214.98945,69934.50374,62622.17836,64621.01973,56995.84019,55522.28413,63701.81937,86569.15206,60436.45772,64513.79865,53491.37119,0.99_584.3320m/z,584.3320386,0.990783333,PC(20:2)+Na,PC,C28 H52 O8 N1 P1 Na1,1.0065,584.332064,6.646117211,C,(20:2),64202.55199,pos
20522.20429,8834.600891,20021.62096,40157.86135,28432.32019,38442.35074,26081.33255,35619.36814,5235.474609,31832.22714,12119.57324,29551.373,24563.19081,0.99_313.0386m/z,313.03857,0.990783333,0,0,0,0,0,0,0,0,25074.27447,pos
0,0,28111.41971,17345.71966,14697.10051,17456.86959,9559.771729,12170.93014,20081.44379,17202.42733,15015.71869,4118.864319,10135.79303,0.99_351.1116m/z,351.1116135,0.990783333,0,0,0,0,0,0,0,0,13824.67154,pos
0,7102.589844,0,0,0,0,11496.2915,5507.653809,43178.31445,5353.865479,55511.09302,26280.53809,6551.54126,0.99_773.9270m/z,773.9270432,0.990783333,0,0,0,0,0,0,0,0,13415.15729,pos
4746916.494,29628335.25,52420934.15,25209532.57,32253999.68,32574396.15,28855555.99,35916012.72,29382474.61,45824432.29,48385996.07,27687227.51,22877769.39,1.00_1063.5310m/z,1063.531044,0.995166667,0,0,0,0,0,0,0,0,34251388.87,pos
18880.8859,216155.2343,287592.7117,384386.0778,290278.3923,308533.8625,486999.3848,295799.6952,207931.3002,250919.9732,276906.2221,278255.8283,307872.1875,1.00_409.1742m/z,409.1742327,0.995166667,0,0,0,0,0,0,0,0,299302.5725,pos
8178.681425,304061.7251,960529.0311,523506.1651,494509.7646,531002.8585,447033.2475,688980.0595,426286.607,813260.6086,852829.3774,449956.6758,340346.346,1.00_1085.5130m/z,1085.512963,0.995166667,0,0,0,0,0,0,0,0,569358.5389,pos
0,211701.2924,24208.2111,207319.4792,6855.977923,0,1194.820129,0,1928.052124,0,3448.663208,1760.956926,4590.86853,1.00_322.2734m/z,322.2733606,0.995166667,0,0,0,0,0,0,0,0,38584.0268,pos
57944.64601,10880.49369,34052.76347,32144.82083,17873.60181,43548.67804,50163.69756,51698.19745,2257.319092,46660.3217,27532.95374,33233.46598,29415.60693,1.00_362.2531m/z,362.2530851,0.995166667,0,0,0,0,0,0,0,0,31621.82669,pos
18213.54475,33289.68799,58097.54105,64883.7841,54420.09265,50989.63635,99344.96478,45980.62499,36203.30146,43178.58513,52151.64261,44216.90321,50885.37744,1.00_404.2190m/z,404.2189958,0.995166667,0,0,0,0,0,0,0,0,52803.51181,pos
28668.90503,0,6182.769653,21539.25412,10337.55853,15864.1892,24940.65509,19522.81891,5091.971008,17294.50732,3578.317383,12680.74983,16221.3605,1.00_267.1948m/z,267.1948037,0.995166667,0,0,0,0,0,0,0,0,12771.1793,pos
0,4323.701111,8770.231689,5171.820618,5229.289191,7253.620054,4667.534912,7665.166286,6328.098708,7556.253845,4393.976013,5857.615686,1788.780823,1.00_349.1770m/z,349.1769828,0.995166667,0,0,0,0,0,0,0,0,5750.507411,pos
0,0,0,0,0,0,5630.038574,11686.94153,18797.61842,4752.616699,34998.56543,34612.96143,6479.07959,1.00_682.1161m/z,682.1160769,0.995166667,0,0,0,0,0,0,0,0,9746.485139,pos
6523681.624,18173292.78,26061068.79,17715107.54,20286419.53,19679033.71,18991523.78,20878858.98,18664992.29,23655857.02,23827821.93,19173827.8,18397913.9,1.00_741.3734m/z,741.3734486,0.99955,0,0,0,0,0,0,0,0,20458809.84,pos
653519.7598,6076519.201,13059618.67,5560250.462,6162837.709,6928968.997,5667008.87,6681859.978,10323993.27,8357861.21,9908258.48,5645306.07,5451279.609,1.00_762.3024m/z,762.3023674,0.99955,0,0,0,0,0,0,0,0,7485313.544,pos
8178.393185,248700.9215,422376.7211,365817.0234,261396.5466,274615.0712,381189.6515,267596.7387,317025.892,267259.4358,299249.1878,244475.0829,254694.5114,1.00_425.1481m/z,425.1480812,0.99955,0,0,0,0,0,0,0,0,300366.3987,pos
243883.8447,490187.0219,666517.1697,480658.3002,495815.5372,539377.1,520735.1016,579785.8731,487328.0749,713442.2733,608155.3632,501924.4272,430552.9341,1.00_685.3472m/z,685.3472244,0.99955,0,0,0,0,0,0,0,0,542873.2647,pos
19199.49206,37982.43328,116298.9908,73044.64667,122415.9684,148794.4612,156318.1015,144174.256,64275.41969,156504.0572,115446.7814,186939.6554,126375.443,1.00_333.2033m/z,333.2033136,0.99955,0,0,0,0,0,0,0,0,120714.1845,pos
11367.96582,32889.90672,56848.37741,55616.78317,56048.47902,45219.57883,61379.4295,50040.31519,45445.76798,57989.66233,46298.0713,57493.89126,59483.66822,1.00_311.2208m/z,311.2208146,0.99955,0,0,0,0,0,0,0,0,52062.82758,pos
11633.58132,94186.02339,166543.7858,161030.7974,120391.7526,154031.0225,123049.7694,187238.2114,130551.3249,174996.5858,165101.4237,135515.8543,130279.6631,1.00_690.3029m/z,690.3028517,0.99955,0,0,0,0,0,0,0,0,145243.0179,pos
0,0,0,0,0,0,1170386.028,0,0,0,0,0,0,1.00_619.0946m/z,619.0945887,0.99955,0,0,0,0,0,0,0,0,97532.169,pos
79307.83954,20370.98769,37284.32903,90247.72018,57726.85344,61797.04724,116620.3603,79922.53731,35597.52453,67772.77011,40794.8002,59291.86386,55378.90671,1.00_404.2643m/z,404.2642997,0.99955,0,0,0,0,0,0,0,0,60233.80838,pos
18905.11831,0,49595.21826,31480.24878,17229.94507,16874.18091,14365.71069,12756.17554,0,69327.84828,13026.40771,41286.83685,36722.2229,1.00_948.4583m/z,948.4583049,0.99955,0,0,0,0,0,0,0,0,25222.06625,pos
90543.80476,36226.77319,103493.2914,102600.6195,129771.1868,179459.0862,152539.7254,142442.7295,42114.60071,92579.10574,83384.07579,69892.66907,110437.4898,1.00_566.3102m/z,566.3101587,0.99955,0,0,0,0,0,0,0,0,103745.1128,pos
1128.032954,23450.43176,26815.62073,25815.47466,17735.60838,32659.68405,15956.409,15355.34688,18180.28944,25651.80447,5455.463623,17115.86708,19473.13053,1.00_355.1505m/z,355.1504703,0.99955,0,0,0,0,0,0,0,0,20305.42755,pos
0,0,0,0,0,3462.994873,8538.965088,13522.76563,23449.14673,0,30323.21082,19866.46443,0,1.00_672.9656m/z,672.9655927,0.99955,0,0,0,0,0,0,0,0,8263.628964,pos
545018.0904,1162593.01,2510788.665,655446.7292,1135386.516,1211843.555,1220983.735,1765555.276,1344406.53,2238163.653,2455100.02,1129480.101,722250.7096,1.00_1007.5043m/z,1007.504348,1.003916667,0,0,0,0,0,0,0,0,1462666.542,pos
4156.169189,30883.13734,50859.79489,175854.4485,107469.3385,32717.19884,31615.8212,12344.80645,47672.65028,5611.332338,109803.062,86283.1977,32365.21759,1.00_343.2948m/z,343.2947662,1.003916667,0,0,0,0,0,0,0,0,60290.00047,pos
142630.9417,79661.2979,92308.66025,184229.3226,134178.4892,132812.8426,275115.3034,113585.1732,92439.30331,148099.9546,104316.5995,124754.7488,124017.5013,1.00_492.2797m/z,492.2796928,1.003916667,0,0,0,0,0,0,0,0,133793.2664,pos
0,245873.1622,17607.63281,0,147547.9963,413167.6891,494503.061,322576.5086,747664.6039,343277.1461,1168735.81,998292.1658,435398.6308,1.00_1105.8781m/z,1105.878068,1.003916667,0,0,0,0,0,0,0,0,444553.7006,pos
568.1718828,71494.0409,113416.5789,62315.95337,81541.70193,94288.46145,79046.0072,76731.44003,108125.2104,111215.8905,64987.85926,83770.13626,66258.18817,1.00_586.3500m/z,586.3499555,1.003916667,0,0,0,0,0,0,0,0,84432.62236,pos
4159.829102,0,2057.253601,18630.69256,10237.67524,8262.829346,12173.70595,11357.16013,2971.063301,11553.89111,6625.119019,9853.208373,6056.932838,1.00_353.2304m/z,353.2304175,1.003916667,0,0,0,0,0,0,0,0,8314.960956,pos
