peak,cell,es,se,pv
170.6,ki67,1.44148199656959,0.623689153177715,0.0208207812684573
68.9,gfap,1.43738157071935,0.623218622724393,0.0210891752915476
275.5,ki67,1.43308770157304,0.622726951649518,0.0213741203204696
59.7,other,-1.4231717940027,0.621595674130882,0.0220476573041979
373.3,ki67,-1.41760107679648,0.620962675375935,0.0224357485437963
256.8,ki67,1.40939914325021,0.620034043731452,0.023020177910069
280.6,both,-1.4085975384269,0.619943499871953,0.0230781420521442
275.3,ki67,1.40211593508504,0.619212790019392,0.0235524523019542
275.2,ki67,1.40012049619165,0.618988337731724,0.0237005100677966
176.1,other,-1.39992848934852,0.6189667528601,0.0237148076279374
206,both,1.39697037208013,0.618634488747635,0.0239362184807918
835.6,both,1.38482764906767,0.617276091929437,0.0248678523776005
70,ki67,1.38392939009683,0.617175957319709,0.0249382497511774
142.1,gfap,1.38043471008429,0.616786847119947,0.0252141047106572
103.9,ki67,-1.3797793762764,0.616713962158897,0.0252661854727964
82.8,gfap,-1.37734512559475,0.616443457230893,0.0254606195103941
65.5,other,1.37652119352586,0.616351979524591,0.0255267814065311
760.5,ki67,-1.37545751328704,0.616233944476857,0.0256124587905569
846.6,other,-1.37508275070017,0.616192373972429,0.025642716153542
122.6,ki67,-1.37003764827283,0.615633576980805,0.0260536691265127
349.2,gfap,-1.368779276049,0.615494440525442,0.0261572297885679
884.5,ki67,-1.36588333143111,0.615174606436428,0.0263971801280499
274.7,ki67,1.36406425681656,0.614973965623286,0.0265490674904972
73.6,gfap,1.36363974750584,0.614927172042321,0.0265846426873459
56.9,ki67,1.36067780841489,0.614600984479742,0.0268342382363054
59.4,other,1.35867114521127,0.614380302850662,0.0270047104363348
73.6,other,-1.35486541286916,0.613962447108349,0.0273310992957901
175.9,gfap,1.35353565311418,0.61381665368017,0.0274461008680852
263.1,both,1.35210633110351,0.613660065430088,0.0275702700498775
278.3,gfap,-1.34760340187072,0.613167571744473,0.0279652552400279
159.1,both,-1.34528158235991,0.612914117903039,0.0281711950164825
123,both,1.33531860189231,0.611830321090512,0.0290727806577206
84.9,ki67,1.32976523135286,0.611228881419579,0.0295881616196682
67.9,both,-1.3295048972993,0.611200733804934,0.0296125511752761
275.7,ki67,1.32595353104074,0.610817177237584,0.0299473336264741
